tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
PAS000ETT14000156,2015-01-28,Minor Building Works and Interior Works to Braddell Heights Community Building,People's Association,438200,Awarded to Suppliers,I-UNITY BUILDERS PTE. LTD.
PAS000ETT14000176,2015-02-24,Proposed Additions & Alterations to Existing Tiong Bahru Community Club for People's Association,People's Association,8319860,Awarded to Suppliers,HAK KIAN ENTERPRISE PTE LTD
PAS000ETT14000193,2015-01-19,Term Contract For Building Works At Various Community Buildings/Clubs/Centres In South West Community Development Division For A Period Of Two (2) Years With An Option To Extend For Another Two (2) Years,People's Association,1,Awarded to Suppliers,UNIQUETECH PTE. LTD.
PAS000ETT14000198,2015-01-27,PROVISION FOR HORTICULTURE SERVICES TO NATIONAL COMMUNITY LEADERSHIP INSTITUTE AT 70 SOUTH BUONA VISTA ROAD SINGAPORE 118176 FOR A PERIOD OF TWO (2) YEARS WITH OPTION TO EXTEND ANOTHER ONE (1) YEAR,People's Association,338400,Awarded to Suppliers,GUAN LEE HENG CONTRACTOR PTE LTD
PAS000ETT14000200,2015-03-02,PROPOSED FIT-OUT WORKS AT PEOPLE'S ASSOCIATION HOLIDAY BUNGALOW 38 AND BUNGALOW 120 PASIR RIS,People's Association,569722.28,Awarded to Suppliers,Rita Metal & Wooden Furniture Construction Pte Ltd
PAS000ETT14000215,2015-04-24,Supply and Delivery of Ergonomic Office Chairs to the People's Association. (Two years contract with an option to extend for another year.),People's Association,0,Awarded to No Suppliers,na
PAS000ETT14000237,2015-02-03,Proposed Additions and Alteration of One Number of Lift Shaft with Fully Equipped Lift System to Bukit Panjang Community Club,People's Association,366566,Awarded to Suppliers,Sin Yong Iron Works Pte Ltd
PAS000ETT14000257,2015-02-10,"Tender for the Nominated Sub-Contract for Design, Fabrication, Supply and Installation of Membrane Roof System to Proposed 6/7-Storey Civic & Community / Sports & Recreation Development with 2 Basements at Tampines Avenue 4&5/ Tampines Street 82 (Tampines Planning Area) on Lot(s) 5971T PT, 5973K PT, 6036K PT, 6037N PT& 6936W PT MK 28",People's Association,4421400,Awarded to Suppliers,VECTOR FOILTEC PTE. LTD.
PAS000ETT14000260,2015-01-13,Nominated sub-contract for Interior Furnishing Work to the Proposed Community Club at Hougang Avenue 9,People's Association,149745,Awarded to Suppliers,HOYI SYSTEM PTE. LTD.
PAS000ETT14000273,2015-01-09,"To design, produce and deliver costumes for Peoples Association Youth Movement in Chingay 2015",People's Association,224400,Awarded to Suppliers,GLOBAL MASCOT PTE. LTD.
PAS000ETT14000275,2015-03-11,"Consultancy services for reconfiguration of offices, cyclical maintenance and improvement works for People's Association Headquarters",People's Association,440800,Awarded to Suppliers,METAPHOR DESIGN + ARCHITECTURE PTE. LTD.
