tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
PMONRFETT14000008,2015-02-02,Tender for Provision of Industrial All Risks and Public Liability Coverage to Campus for Research Excellence and Technological Enterprise (CREATE)for Base Period of 1 yr with an Option to Extend for another 1 yr,Prime Minister's Office - National Research Foundation,130664,Awarded to Suppliers,MS FIRST CAPITAL INSURANCE LIMITED
PMONRFETT15000001,2015-07-06,"Invitation to Tender for the Provision of Application Development, Datamigration, Maintenance and Operations Support for the Supply of an Integrated Grant Management System (IGMS)",Prime Minister's Office - National Research Foundation,5986501,Awarded to Suppliers,NCS PTE. LTD.
PMONRFETT15000002,2015-04-27,Invitation to Tender for Provision of Event Management/ Communications Services for Global Young Scientists Summit@One-North 2016 (GYSS 2016),Prime Minister's Office - National Research Foundation,1493916,Awarded to Suppliers,PACIFIC WORLD MEETINGS & EVENTS SINGAPORE PTE. LTD.
PMONRFETT15000003,2015-04-16,INVITATION TO TENDER FOR THE APPOINTMENT OF EVENT MANAGEMENT COMPANY TO MANAGE AND PROMOTE TECHVENTURE 2015 & TECHINNOVATION 2015,Prime Minister's Office - National Research Foundation,1674781.5,Awarded to Suppliers,I-PROMO PTE. LTD.
PMONRFETT15000004,2015-05-14,PROPOSED ADDITIONS & ALERATIONS INVOLVING PART 3RD STOREY TO PART 7TH STOREY AND PART ROOF LEVEL FOR CAMPUS FOR RESEARCH EXCELLENCE AND TECHNOLOGICAL ENTERPRISE (CREATE) ON LOT 4564P MK3 AT 1 CREATE WAY (BATCH 9),Prime Minister's Office - National Research Foundation,8788000,Awarded to Suppliers,GENNAL INDUSTRIES PTE LTD
PMONRFETT15000007,2015-07-14,Tender for Provision of Performance of Outside Air Quality and Boundary Noise Limits Testings at Campus for Research Exellence and Technological Enterprise (CREATE),Prime Minister's Office - National Research Foundation,0,Awarded to No Suppliers,na
PMONRFETT15000008,2016-01-20,Tender for the Term Contract of Maintenance of Audio Video (AV) System at Campus for Research Excellence and Technological Enterprise (CREATE) for a Period of 3 Years With an Option to Extend for Another 2 Years,Prime Minister's Office - National Research Foundation,499458,Awarded to Suppliers,PAVE System Pte Ltd
PMONRFETT15000009,2015-09-30,Tender for the Provision of Security Services to Campus for Research Excellence and Technological Enterprise (CREATE) for a Period of 3 Years with an Option to Extend for another 2 Years,Prime Minister's Office - National Research Foundation,4557660,Awarded to Suppliers,ONEBERRY TECHNOLOGIES PTE. LTD.
PMONRFETT15000011,2016-02-04,"To supply labour, transportation, equipment and material: To supply, install, testing & commissioning of 3 sets of new motor and hoist to the 3 BMUs at RIE wing To service the motor & hoist, replace the identified faulty parts, and to conduct full Load test, and be certified for installation; To check, tighten, repair / replace loose bolts and rectify all loosen angles guide rails and replace faulty limit switches and repair faulty electrical / Programmable Logic Controller/ damaged wheels.",Prime Minister's Office - National Research Foundation,138888,Awarded to Suppliers,AEGIS ENGINEERING PTE. LTD.
PMONRFETT15000014,2016-02-23,"Manpower services comprise of: (a) Short-term contract employees - employees who are paid hourly or monthly for a continued duration of not more than 1 year per episode; and (b) Provision of services - which can be more than 1 year per episode, for example tea lady services.",Prime Minister's Office - National Research Foundation,535177.8,Awarded to Suppliers,Business Edge Personnel Services Pte Ltd
PMONRFETT15000015,2016-01-25,THE PROVISION OF HARDWARE MAINTENANCE AND PREVENTIVE MAINTENANCE SERVICES AT CAMPUS FOR RESEARCH EXCELLENCE AND TECHNOLOGICAL ENTERPRISE DATA CENTRE,Prime Minister's Office - National Research Foundation,594000,Awarded to Suppliers,ST ELECTRONICS (DATA CENTRE SOLUTIONS) PTE. LTD.
PMONRFETT15000016,2016-03-23,"A study to determine the environmental benefits, potential CO2 abatement and energy savings of tapping waste cold energy in Singapore. The study shall (1) develop a profile of cold energy supply and demand, (2) develop a database of cold technologies to inform R&D thrusts and (3) formulate scenarios of integrated-cold economy.",Prime Minister's Office - National Research Foundation,0,Awarded to No Suppliers,na
PMONRFETT16000001,2016-04-26,Provision of Legal Services to National Research Foundation Holdings to support the National Framework of Innovation and Enterprise investment schemes under the National Research Foundation.,Prime Minister's Office - National Research Foundation,111900,Awarded to Suppliers,LEE & LEE
PMONRFETT16000001,2016-04-26,Provision of Legal Services to National Research Foundation Holdings to support the National Framework of Innovation and Enterprise investment schemes under the National Research Foundation.,Prime Minister's Office - National Research Foundation,24800,Awarded to Suppliers,RAJAH & TANN SINGAPORE LLP
