tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
PMOCPIETT14000003,2015-01-21,TERM CONTRACT FOR MAINTENANCE OF MECHANICAL AND ELECTRICAL SYSTEMS AT CORRUPT PRACTICES INVESTIGATION BUREAU (CPIB) BUILDING FOR A PERIOD OF TWO(2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO(2) YEAR,Prime Minister's Office-Corrupt Practices Investigation Bureau,768000,Awarded to Suppliers,GDS ENGINEERING PTE LTD
PMOCPIETT14000007,2015-02-03,"DESIGN, BUILD AND SUPPLY OF FOUR (04) FORENSIC WORKSTATION AND TWO (02) FORENSIC LAPTOPS FOR CPIB",Prime Minister's Office-Corrupt Practices Investigation Bureau,120366,Awarded to Suppliers,MEGA LASER SUPPORT PRIVATE LIMITED
PMOCPIETT15000002,2015-05-28,TERM CONTRACT FOR MAINTENANCE OF BUILDING WORKS AT CPIB FOR A PERIOD OF THREE(3) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS,Prime Minister's Office-Corrupt Practices Investigation Bureau,792400,Awarded to Suppliers,FUSEN DEVELOPMENT PTE LTD
PMOCPIETT15000003,2015-09-01,"Supply, registration and delivery of 1 unit of Sports Utility Vehicle",Prime Minister's Office-Corrupt Practices Investigation Bureau,46935,Awarded to Suppliers,CYCLE & CARRIAGE AUTOMOTIVE PTE LIMITED
PMOCPIETT15000004,2015-06-30,"PROVISION OF TRAINING VENUE, DINING PACKAGES AND HOTEL ACCOMMODATION",Prime Minister's Office-Corrupt Practices Investigation Bureau,324.5,Awarded to Suppliers,COPTHORNE KING'S HOTEL SINGAPORE
PMOCPIETT15000005,2015-10-12,"INVITATION TO TENDER FOR THE CONCEPTUALISATION, DESIGN, DEVELOPMENT AND IMPLEMENTATION FOR A ROVING EXHIBITION",Prime Minister's Office-Corrupt Practices Investigation Bureau,202800,Awarded to Suppliers,MILTON EXHIBITS (SINGAPORE) PTE. LTD.
PMOCPIETT15000006,2016-01-29,"TERM CONTRACT FOR THE PROVISION OF CLEANING, PEST CONTROL AND HORTICULTURAL SERVICES FOR CORRUPT PRACTICES INVESTIGATION BUREAU(CPIB) FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS",Prime Minister's Office-Corrupt Practices Investigation Bureau,962160,Awarded to Suppliers,CSP MAINTENANCE PTE LTD
PMOCPIETT15000007,2016-02-03,"Supply, registration and delivery of 2 units of 1600cc saloon cars",Prime Minister's Office-Corrupt Practices Investigation Bureau,53168,Awarded to Suppliers,CYCLE & CARRIAGE KIA PTE LTD
PMOCPIETT16000001,2016-05-19,Tender for the Supply of Armed/Unarmed Security Services for 3 years with an option to extend for another 2 years.,Prime Minister's Office-Corrupt Practices Investigation Bureau,2226972,Awarded to Suppliers,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.
PMOCPIETT16000008,2016-06-10,Consultancy and Project Management Services for the renovation works at former Whitley NPP (Corruption Reporting Centre and Heritage Gallery),Prime Minister's Office-Corrupt Practices Investigation Bureau,146000,Awarded to Suppliers,SC CONSULTANTS & ASSOCIATES
PMOCPIETT16000009,2016-08-16,PROVISION OF MANAGING AGENT SERVICES FOR CORRUPT PRACTICES INVESTIGATION BUREAU (CPIB) FOR A PERIOD OF THREE (3) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER THREE (3) YEARS,Prime Minister's Office-Corrupt Practices Investigation Bureau,512114,Awarded to Suppliers,UEMS SOLUTIONS PTE. LTD.
PMOCPIETT16000013,2016-08-29,"INVITATION TO TENDER FOR THE CONCEPTUALISATION, DESIGN AND INSTALLATION FOR AN INTERACTIVE HERITAGE GALLERY",Prime Minister's Office-Corrupt Practices Investigation Bureau,339572,Awarded to Suppliers,REVEZ MOTION PTE. LTD.
PMOCPIETT16000015,2016-10-04,"Proposed Additions & Alteration To The Premises At 247 Whitley Road, Singapore 297830",Prime Minister's Office-Corrupt Practices Investigation Bureau,1306025,Awarded to Suppliers,TRENDBUILD CONTRACTS PTE. LTD.
PMOCPIETT16000016,2017-02-06,"SUPPLY, REGISTRATION AND DELIVERY OF 1 UNIT OF 2400CC MULTI-PURPOSE VEHICLE (MPV), 2 UNITS OF 1600CC SALOON CARS AND 1 UNIT OF 3000CC PASSENGER CARRYING VAN",Prime Minister's Office-Corrupt Practices Investigation Bureau,179988,Awarded to Suppliers,BORNEO MOTORS (SINGAPORE) PTE. LTD.
PMOCPIETT16000016,2017-02-06,"SUPPLY, REGISTRATION AND DELIVERY OF 1 UNIT OF 2400CC MULTI-PURPOSE VEHICLE (MPV), 2 UNITS OF 1600CC SALOON CARS AND 1 UNIT OF 3000CC PASSENGER CARRYING VAN",Prime Minister's Office-Corrupt Practices Investigation Bureau,75030,Awarded to Suppliers,CYCLE & CARRIAGE KIA PTE LTD
PMOCPIETT17000001,2017-09-13,REPLACEMENT OF THE EXTERNAL WATERPROOFING AND SEALANT ON LEVEL 2 CARPARK AND RAMP AT CORRUPT PRACTICES INVESTIGATION BUREAU (CPIB) BUILDING AT 2 LENGKOK BAHRU SINGAPORE 159047,Prime Minister's Office-Corrupt Practices Investigation Bureau,62827,Awarded to Suppliers,Asialink W Pte. Ltd
PMOCPIETT17000003,2017-10-19,"SUPPLY, REGISTRATION AND DELIVERY OF 1 UNIT OF 3000CC PASSENGERS-CUM-GOODS CARRYING VAN",Prime Minister's Office-Corrupt Practices Investigation Bureau,124100,Awarded to Suppliers,VERTEX AUTOMOBILE PTE. LTD.
PMOCPIETT17300001,2017-10-17,Provision of One (1) Year of NUIX Software License Maintenance Services (SMS) for Digital Forensic Software for CPIB,Prime Minister's Office-Corrupt Practices Investigation Bureau,98000,Awarded to Suppliers,PCS SECURITY PRIVATE LIMITED
