tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
PMOHQ0ETT14000007,2015-01-22,"INVITATION TO TENDER FOR THE CATERING OF FOOD ON THE OCCASION OF LUNAR NEW YEAR RECEPTION TO BE HELD ON MONDAY 2 MARCH 2015, 8PM AT THE ISTANA LAWN",Prime Minister's Office-Ministry Headquarter,113250,Awarded to Suppliers,CITY HOTELS PTE. LTD.
PMOHQ0ETT15000003,2015-06-22,"INVITATION TO SUBMIT FOOD CATERING TENDER FOR NATIONAL DAY PARADE 2015 (SUNDAY 9 AUGUST, THE PADANG)",Prime Minister's Office-Ministry Headquarter,0,Awarded to No Suppliers,na
PMOHQ0ETT15000004,2015-07-02,"INVITATION TO SUBMIT FOOD CATERING TENDER FOR NATIONAL DAY RALLY 2015 (SUNDAY 23 AUGUST, ITE COLLEGE CENTRAL)",Prime Minister's Office-Ministry Headquarter,151200,Awarded to Suppliers,Marina Mandarin
PMOHQ0ETT15000006,2015-11-24,"INVITATION TO TENDER PROPOSED INTERIOR WORKS AT ISTANA, ORCHARD ROAD",Prime Minister's Office-Ministry Headquarter,582668,Awarded to Suppliers,VANGUARD INTERIORS PTE LTD
PMOHQ0ETT15000008,2015-11-25,INVITATION TO TENDER FOR TERM CONTRACT FOR NON COMPREHENSIVE MAINTENANCE OF CHILLER SYSTEMS AT THE ISTANA FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ONE (1) YEAR UP TO TWO (2) YEARS,Prime Minister's Office-Ministry Headquarter,196910.3,Awarded to Suppliers,A PLUS ENGRG & SERVICES PTE. LTD.
PMOHQ0ETT16000001,2016-06-22,INVITATION TO TENDER FOR PROPOSED UPGRADING OF DIMMER SYSTEM AT ISTANA,Prime Minister's Office-Ministry Headquarter,85000,Awarded to Suppliers,KURIHARA KOGYO CO. LTD.
PMOHQ0ETT16000002,2016-11-08,INVITATION TO TENDER FOR PROPOSED UPGRADING WORKS FOR EXISTING CHANDELIERS AT ISTANA,Prime Minister's Office-Ministry Headquarter,0,Awarded to No Suppliers,na
PMOHQ0ETT16000005,2016-05-31,"INVITATION TO SUBMIT FOOD & SERVICES CATERING TENDER FOR NATIONAL DAY PARADE 2016 (Tuesday 9 August, National Stadium at Singapore Sports Hub)",Prime Minister's Office-Ministry Headquarter,86400,Awarded to Suppliers,Marina Mandarin
PMOHQ0ETT16000006,2016-06-21,"INVITATION TO SUBMIT FOOD & SERVICES CATERING TENDER FOR NATIONAL DAY RALLY 2016 (Sunday 21 August, ITE College Central, Ang Mo Kio)",Prime Minister's Office-Ministry Headquarter,129600,Awarded to Suppliers,Marina Mandarin
PMOHQ0ETT16000008,2017-06-19,"INVITATION TO TENDER FOR REPLACEMENT OF ONE (1) CHILLER, ASSOCIATED PUMPS AND SUPPLY OF NEW CHILLER PLANT M&V SYSTEM FOR ISTANA",Prime Minister's Office-Ministry Headquarter,806000,Awarded to Suppliers,CARRIER SINGAPORE (PTE) LIMITED
PMOHQ0ETT17000001,2017-07-10,INVITATION TO TENDER FOR TOPOGRAPHICAL SURVEY AT ISTANA,Prime Minister's Office-Ministry Headquarter,59500,Awarded to Suppliers,SURBANA JURONG CONSULTANTS PTE. LTD.
PMOHQ0ETT17000002,2017-10-09,INVITATION TO TENDER FOR SERVICES DETECTION WORKS IN ISTANA,Prime Minister's Office-Ministry Headquarter,98000,Awarded to Suppliers,CABLES & UTILITIES DETECTION SERVICES PTE LTD
PMOHQ0ETT17000004,2017-06-14,INVITATION TO TENDER FOR COMPREHENSIVE MAINTENANCE OF KONE LIFT SYSTEMS FOR A PERIOD OF TWO (2) YEARS WITH OPTIONS TO EXTEND FOR ANOTHER TWO (2) YEARS ONE (1) YEAR,Prime Minister's Office-Ministry Headquarter,382250.4,Awarded to Suppliers,KONE PTE LTD
PMOHQ0ETT17000005,2017-07-14,INVITATION TO TENDER FOR MAINTENANCE OF BUILDING WORKS FOR A PERIOD OF TWO (2) YEARS WITH OPTIONS TO EXTEND FOR ANOTHER TWO (2) PLUS ONE (1) YEAR,Prime Minister's Office-Ministry Headquarter,1151000,Awarded to Suppliers,SENG & KENG CONSTRUCTION PTE. LTD.
PMOHQ0ETT17000006,2017-06-14,"INVITATION TO SUBMIT FOOD & SERVICES CATERING TENDER FOR NATIONAL DAY RALLY 2017 (Sunday 20 August, ITE College Central, Ang Mo Kio)",Prime Minister's Office-Ministry Headquarter,129600,Awarded to Suppliers,Marina Mandarin
PMOHQ0ETT17000010,2017-08-10,INVITATION TO TENDER FOR PROPOSED INSPECTION / RESTORATION OF EXISTING CHANDELIERS AND WALL LIGHTS,Prime Minister's Office-Ministry Headquarter,269000,Awarded to Suppliers,TENON CONSTRUCTION PTE. LTD.
