tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
PUB000ETT11000202,2015-05-14,Repair and Improvement Work on an Effluent Outfall Penstock at Changi Water Reclamation Plant,Public Utilities Board,337000,Awarded to Suppliers,INDAT ENGINEERING PTE. LTD.
PUB000ETT12000225,2015-07-15,Rehabilitation of Sewerage Network Phase 4 - Southern Area Contract 4 (Big Diameter 600-1700mm),Public Utilities Board,8282828,Awarded to Suppliers,PMPS LINER TECHNOLOGY (SINGAPORE) PTE. LTD.
PUB000ETT13000218,2016-06-02,Watermain Repairs and Other Contract Work for Network Services (West) Division for Year 2016 to 20189,Public Utilities Board,4591000,Awarded to Suppliers,K H Lee Engineering & Construction Pte Ltd
PUB000ETT13000218,2016-06-02,Watermain Repairs and Other Contract Work for Network Services (West) Division for Year 2016 to 20189,Public Utilities Board,5300000,Awarded to Suppliers,O Liner Technology Pte Ltd
PUB000ETT14000172,2015-01-14,Proposed Sewers in Changi East Area (Package A) - Contract 1,Public Utilities Board,7470000,Awarded to Suppliers,TACTIC ENGINEERING PTE LTD
PUB000ETT14000185,2015-01-14,"Professional Engineering Services for Proposed 1600/1200/700mm Diameter Potable Water Pipelines along Elias Road, Tampines Avenue 6 and Future Roads in Tampines North",Public Utilities Board,3334380,Awarded to Suppliers,AECOM SINGAPORE PTE. LTD.
PUB000ETT14000198,2015-01-08,Proposed Sewers in Tanah Merah Kechil Area.,Public Utilities Board,3930000,Awarded to Suppliers,Hock Hai Civil Engineering & Building Pte Ltd
PUB000ETT14000203,2015-01-08,Sewerage Scheme to serve Marina South Area - Contract 2C,Public Utilities Board,2259150,Awarded to Suppliers,BUILDING CONSTRUCTION CO. (PRIVATE) LIMITED
PUB000ETT14000215,2015-02-12,Jurong Water Reclamation Plant Phase 4 Expansion (Contract 2 - Solids),Public Utilities Board,16661000,Awarded to Suppliers,YAMATO TECHNOLOGIES PTE. LTD.
PUB000ETT14000221,2015-02-17,Expansion of Sewage Treatment Plant 1 (STP 1) on Jurong Island,Public Utilities Board,16600000,Awarded to Suppliers,HSL Constructor Pte Ltd
PUB000ETT14000230,2015-01-13,Replacement of Singapore River Steps Lightings Between Coleman Bridge and Read Bridge,Public Utilities Board,150000,Awarded to Suppliers,KURIHARA KOGYO CO. LTD.
PUB000ETT14000231,2015-01-09,Proposed Dredging of Sungei Pinang,Public Utilities Board,1950000,Awarded to Suppliers,OUNG CONSTRUCTION (S) PTE LTD
PUB000ETT14000235,2015-02-02,Replacement and Maintenance of Supervisory Control and Data Acquisition (SCADA) System at Kranji NEWater Factory (KNF) and Phase 1 SCADA System at Bedok NEWater Factory (BNF),Public Utilities Board,3555836,Awarded to Suppliers,DNR PROCESS SOLUTIONS PTE. LTD.
PUB000ETT14000236,2015-01-20,Term Contract for Trial Trenching Works for Used Water Projects,Public Utilities Board,810000,Awarded to Suppliers,KIM TIONG HUAT CONTRACTOR PTE LTD
PUB000ETT14000237,2015-02-03,Improvement to Roadside Drains EUP Batch 7 Contract 7 - Roxy Estate (Northern Sector),Public Utilities Board,5980000,Awarded to Suppliers,STARLAND CONSTRUCTION PTE LTD
PUB000ETT14000238,2015-04-28,Improvement to Bukit Timah First Diversion Canal Contract 3 (Holland Green to Clementi Road),Public Utilities Board,146486297.76,Awarded to Suppliers,CHYE JOO CONSTRUCTION PTE LTD
PUB000ETT14000241,2015-06-04,Appointment of Insurer for Improvement to Bukit Timah First Diversion Canal Contract 3 (Holland Green to Clementi Road),Public Utilities Board,110000,Awarded to Suppliers,INDIA INTERNATIONAL INSURANCE PTE LTD
PUB000ETT14000241,2015-06-04,Appointment of Insurer for Improvement to Bukit Timah First Diversion Canal Contract 3 (Holland Green to Clementi Road),Public Utilities Board,0,Awarded to Suppliers,LIBERTY INSURANCE PTE LTD
PUB000ETT14000242,2015-01-08,Proposed Sewers in Tuas View Square Area,Public Utilities Board,5700000,Awarded to Suppliers,Hock Hai Civil Engineering & Building Pte Ltd
