tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
RGS000ETT15000003,2015-02-16,"To provide trip itinerary (includes travel insurance, accomodation, transportation and meals) to the Malaysian state of Malacca",Raffles Girls' School (Secondary),67620,Awarded to Suppliers,AMAZING EXPLORER PTE. LTD.
RGS000ETT15000004,2015-02-16,"To provide trip itinerary (includes travel insurance, accomodation, transportation and meals) to the Malaysian state of Selangor",Raffles Girls' School (Secondary),75240,Awarded to Suppliers,GOLDEN TRAVEL SERVICES PTE LTD
RGS000ETT15000006,2015-04-30,"To provide a comprehensive, cost-effective solution based on all of the requirements encompassed within this Tender",Raffles Girls' School (Secondary),127666,Awarded to Suppliers,Nera Telecommunications Ltd
RGS000ETT15000007,2015-06-19,To supply a solution of backup site and replications,Raffles Girls' School (Secondary),14854,Awarded to Suppliers,BIZ@DPCLOUD PTE. LTD.
RGS000ETT15000008,2015-05-11,Provision of Additions and Alterations to Laboratories Renovation and Refurbishment,Raffles Girls' School (Secondary),134050,Awarded to Suppliers,DAVOE CREATIVE PTE. LTD.
RGS000ETT15000010,2015-04-30,To provide air ticket and itineary,Raffles Girls' School (Secondary),111580,Awarded to Suppliers,GOLDEN TRAVEL SERVICES PTE LTD
RGS000ETT15000011,2015-07-22,To provide round-the-clock (24 hours) first level security to students / staff within the school premises,Raffles Girls' School (Secondary),426000,Awarded to Suppliers,SHINE SECURITY AGENCY AND INVESTIGATION PTE. LTD.
RGS000ETT16000002,2016-04-22,"To Provide Air Tickets, Land Transport and accommodation for Future Problems Solving Program",Raffles Girls' School (Secondary),47232,Awarded to Suppliers,GOLDEN TRAVEL SERVICES PTE LTD
RGS000ETT16000003,2016-04-22,"To Provide Air Tickets, Land Transport and accommodation to Odyssey of the Mind World Final",Raffles Girls' School (Secondary),60387,Awarded to Suppliers,GOLDEN TRAVEL SERVICES PTE LTD
RGS000ETT17000001,2017-07-24,To provide round-the-clock (24 hours) first level security to students / staff within the school premise,Raffles Girls' School (Secondary),286200,Awarded to Suppliers,SHINE SECURITY AGENCY AND INVESTIGATION PTE. LTD.
RGS000ETT17000003,2017-11-10,Tenderer to tender for General Cleaning Services and Events Set-up and Handyman Services,Raffles Girls' School (Secondary),643200,Awarded to Suppliers,SOON KIAT CONSTRUCTION & MAINTENANCE PTE LTD
