tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
RPO000ETT14000014,2015-01-19,Tender for renovation works of dry laboratories for CEC,Republic Polytechnic,192890,Awarded to Suppliers,PAN MASTER CRAFT CONSTRUCTION PTE. LTD.
RPO000ETT14000018,2015-03-09,Tender for the software maintenance and professional services for New Finance System for 1 year (option to extend another 1 year) for OIS,Republic Polytechnic,0,Awarded to No Suppliers,na
RPO000ETT14000023,2015-03-17,Supply and Maintenance of a fully operational Alumni Management System and related professional services,Republic Polytechnic,752300,Awarded to Suppliers,NITYO 3P SOLUTIONS PTE. LTD.
RPO000ETT14000024,2015-01-29,Tender for Disciplinary Services for a Period of 2 Years with an Option to Extend for Another 1 Year for OSG,Republic Polytechnic,1053582,Awarded to Suppliers,CERTIS CISCO SECURITY PTE. LTD.
RPO000ETT14000025,2015-02-26,Tender for Joint-IHL End User Computing Managed Services for a Period of Three (3) Years (with Option to Extend Another Two (2) Years) for OIS,Republic Polytechnic,6851909,Awarded to Suppliers,JARDINE ONESOLUTION (2001) PTE LTD
RPO000ETT14000028,2015-02-26,Tender for maintenance of campus network hardware for OIS,Republic Polytechnic,309000,Awarded to Suppliers,NCS PTE. LTD.
RPO000ETT14000029,2015-01-20,Tender for Oracle Software Licence Maintenance for OIS,Republic Polytechnic,358327,Awarded to Suppliers,FUJITSU ASIA PTE LTD
RPO000ETT14000030,2015-02-10,Tender for Maintenance of Orchestra Shell for a period of 3 years with an option to extend for another 2 years for TRCC/OSG,Republic Polytechnic,403670,Awarded to Suppliers,SIONG ANN ENGINEERING PTE LTD
RPO000ETT14000031,2015-02-25,Tender for Food Catering Services for 1 year with option of 1 year extension by OPB,Republic Polytechnic,0,Awarded to No Suppliers,na
RPO000ETT14000032,2015-02-10,"Tender for Collaterals, Landscaping and Decorations for Republic Polytechnic Graduation Ceremony 2015 For ORG",Republic Polytechnic,117730,Awarded to Suppliers,MACROVIC ENTERPRISE PTE LTD
RPO000ETT14000033,2015-05-07,Tender for Cloud Computing Solution for Curriculum Delivery for SOI,Republic Polytechnic,327210,Awarded to Suppliers,NCS PTE. LTD.
RPO000ETT14000034,2015-03-18,Tender for refurbishment and construction of meeting rooms by OES,Republic Polytechnic,519329.4,Awarded to Suppliers,ILA GROUP PTE. LTD.
RPO000ETT14000035,2015-04-28,TENDER FOR SUPPLY AND DELIVERY OF MOBILE AND STATIC EYE TRACKER SYSTEM AND WIRELESS EEG NEUROHEADSET FOR CEC,Republic Polytechnic,148937,Awarded to Suppliers,NEWROCARE TECHNOLOGY PTE. LTD.
RPO000ETT14000036,2015-04-24,"Upgrade of eDoc System, eDoc Integration with SharePoint, Application Maintenance Support, Professional Services and Additional User Licenses For OIS",Republic Polytechnic,1252680,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd
RPO000ETT14000037,2015-02-13,Tender for Appointment of Insurance Broker for Republic Polytechnic for a period of 3 years (with option to extend for another 3 years) for OHR,Republic Polytechnic,1200000,Awarded to Suppliers,Marsh (Singapore) Pte Ltd
RPO000ETT14000041,2015-03-19,TENDER FOR PROVISION OF MANAGED PRINT SERVICES FOR REPUBLIC POLYTECHNIC (RP) FOR A PERIOD OF THREE (3) YEARS WITH OPTION TO EXTEND THE CONTRACT FOR ANOTHER TWO (2) YEARS,Republic Polytechnic,1950125.08,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd
RPO000ETT15000001,2015-03-12,TENDER FOR PROVISION OF MOVER AND INSTALLATION SERVICES FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,Republic Polytechnic,221529,Awarded to Suppliers,MAC TRANSPORT SERVICE
RPO000ETT15000002,2015-03-18,Tender for Interior Fit-Out Works for Republic Polytechnic Warehouse Lab For COI-SCM,Republic Polytechnic,174200,Awarded to Suppliers,TECHART GLOBAL PTE. LTD.
RPO000ETT15000004,2015-09-23,"Tender for Interior Decoration and Finishing Fit-Out Works for Restaurant Training Lab and Private Dining Room at Republic Polytechnic, SIT Building for SOH",Republic Polytechnic,265905,Awarded to Suppliers,SKYPACE PTE. LTD.
RPO000ETT15000005,2015-03-09,"Tender for Internal Fit-out Works for Food Formulation Lab, Sensory Evaluation Lab, Food Processing Lab and Robing Station at 4th Storey of New SIT Campus For SAS",Republic Polytechnic,208100,Awarded to Suppliers,MUTIARA (FE) PTE. LTD.
RPO000ETT15000006,2015-02-13,Tender for Modification of Order Fulfilment System and maintenance support for 3 years with option to extend another 2 years For COI-SCM/ CSC,Republic Polytechnic,0,Awarded to No Suppliers,na
RPO000ETT15000007,2015-05-28,Tender for Modification and Maintenance Service of Fume Cabinets for a Period of 2 Years for SAS,Republic Polytechnic,121440,Awarded to Suppliers,LABQUIP (S) PTE LTD
RPO000ETT15000008,2015-04-07,TENDER FOR CONSTRUCTION AND INSTALLATION OF REPUBLIC POLYTECHNIC'S ALUMNI CLASS PLAQUES FOR OSG,Republic Polytechnic,280000,Awarded to Suppliers,TIMBERLUX INTERNATIONAL PTE LTD
RPO000ETT15000009,2015-03-06,"Provision of Venue, Food & Beverages & Services for Republic Polytechnic's Dinner and Dance 2015",Republic Polytechnic,0,Awarded to No Suppliers,na
RPO000ETT15000010,2015-10-19,"Supply of parts, labour, materials, transport and tools for installation test and commissioning of Variable Speed Drive for Air Handling Unit for OES",Republic Polytechnic,0,Awarded to No Suppliers,na
RPO000ETT15000011,2015-11-18,"Tender for Renovation Works at Republic Polytechnic, Retail & CRM Laboratory For SOH",Republic Polytechnic,522545,Awarded to Suppliers,TECHART GLOBAL PTE. LTD.
RPO000ETT15000012,2015-05-28,Tender for 2 Years Security Services at Republic Polytechnic Campus For OES,Republic Polytechnic,3464640,Awarded to Suppliers,SECURITAS GUARDING SERVICES (SINGAPORE) PTE. LTD.
RPO000ETT15000013,2015-05-06,Tender for the Enhancement and modification of Robotic Palletizing System for additional functionalities for COI-SCM,Republic Polytechnic,187768.88,Awarded to Suppliers,ABB PTE. LTD.
RPO000ETT15000015,2015-07-06,Tender for Modification of Order Fulfilment System and maintenance support for 3 years with option to extend another 2 years For COI-SCM/ CSC,Republic Polytechnic,261500,Awarded to Suppliers,Schaefer Systems International Pte Ltd
RPO000ETT15000016,2015-06-18,"Conceptualisation, Design, Layout, Photography, Writing/Editorial, Printing services of @RP Publication for a period of 1 year (with an option to extend for another year) For OCC",Republic Polytechnic,697940,Awarded to Suppliers,KEY EDITIONS PTE LTD
RPO000ETT15000017,2015-11-19,"TENDER FOR SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF AUDIO VISUAL EQUIPMENT AND SYSTEM FOR TRAINING LABS FOR SOH",Republic Polytechnic,268986,Awarded to Suppliers,AMCON INTEGRATION LLP
RPO000ETT15000018,2015-06-15,Three years Period contract (with an option to extend for another two years) for the provision of Cloud-based Learning Management Systems (LMS) Subscription Service for the Institute of Higher Learning,Republic Polytechnic,0,Awarded to No Suppliers,na
RPO000ETT15000019,2015-10-01,Tender for Photography Service for 1 year with option to extend another 1 year by OCC,Republic Polytechnic,525910,Awarded to Suppliers,CRISPCONTRASTS
RPO000ETT15000020,2015-07-21,Period Contract for T-shirts for OSG,Republic Polytechnic,196981.1,Awarded to Suppliers,D'HORRIZON PRIVATE LIMITED
RPO000ETT15000021,2015-06-08,"TENDER FOR SOFTWARE MAINTENANCE, APPLICATION SUPPORT AND PROFESSIONAL SERVICES FOR A PERIOD OF 3 YEARS FOR OIS",Republic Polytechnic,6487011,Awarded to Suppliers,WIPRO NETWORKS PTE. LIMITED
RPO000ETT15000022,2015-07-10,Tender for Printing Services for Firm 1 Year plus Option to Extend for 1 Year for OCC,Republic Polytechnic,45880,Awarded to Suppliers,CHUNG PRINTING PTE. LTD.
RPO000ETT15000022,2015-07-10,Tender for Printing Services for Firm 1 Year plus Option to Extend for 1 Year for OCC,Republic Polytechnic,50320,Awarded to Suppliers,HO PRINTING SINGAPORE PTE LTD
RPO000ETT15000022,2015-07-10,Tender for Printing Services for Firm 1 Year plus Option to Extend for 1 Year for OCC,Republic Polytechnic,51800,Awarded to Suppliers,Oxford Graphic Printers Pte Ltd
RPO000ETT15000024,2015-06-08,Advertising Campaign for Republic Polytechnic Open House 2016 for OCC,Republic Polytechnic,163101.82,Awarded to Suppliers,SPARKFURY CREATIVE CONSULTANTS PTE. LTD.
RPO000ETT15000025,2015-10-13,"Tender for the Supply, Delivery, Installation, Testing and Commissioning of a Multi-Channel Electrochemical and Impedance System with Integrated Heating for SEG",Republic Polytechnic,85000,Awarded to Suppliers,ITS Science & Medical Pte Ltd
RPO000ETT15000026,2015-06-26,TENDER FOR FOOD CATERING SERVICES FOR 1 YEAR WITH OPTION OF 1 YEAR EXTENSION BY OPB,Republic Polytechnic,600000,Awarded to Suppliers,KAFFE ESPLANADE
RPO000ETT15000027,2016-03-28,TENDER FOR HARDWARE MAINTENANCE AND SUPPORT SERVICES OF WEB SECURITY GATEWAY FOR REPUBLIC POLYTECHNIC (RP) FOR ONE (1) YEAR AND OPTION TO RENEW ANOTHER ONE (1) YEAR,Republic Polytechnic,59646,Awarded to Suppliers,NCS PTE. LTD.
