tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
SST000ETT14000009,2015-01-02,GCP TOUR PACKAGE FOR TEACHERS AND STUDENTS TO SAN FRANCISCO 6-15 FEB 2015,"School of Science and Technology, Singapore",104361.2,Awarded to Suppliers,Siam Express Pte Ltd
SST000ETT15000004,2015-04-02,Purchase of 25 iMAC for SST INC,"School of Science and Technology, Singapore",74175,Awarded to Suppliers,VSolutions Pte Ltd
SST000ETT15000005,2015-03-20,"TOUR PACKAGE FOR 14 STUDENTS AND 2 TEACHERS TO ATTEND VEX ROBOTICS MIDDLE WORLD CHAMPIONSHIP 2015 CUM EARLY COLLEGE CENTRE, HARDIN COUNTY SCHOOL IN LOUISVILLE, KENTUCKY, USA. 13-21 APRIL 2015","School of Science and Technology, Singapore",55688,Awarded to Suppliers,STA TRAVEL (PTE) LTD
SST000ETT15000007,2015-04-14,ENGAGEMENT OF SERVICE PROVIDER TO CARRY OUT PREVENTIVE AND BREAKDOWN MAINTENANCE OF M & E SYSTEM,"School of Science and Technology, Singapore",820836,Awarded to Suppliers,SYNERGY FMI PTE. LTD.
SST000ETT15000010,2015-07-08,"PROVISION OF ELECTRICITY SUPPLY TO SCHOOL OF SCIENCE AND TECHNOLOGY SINGAPORE FOR PEIROD OF 2 YEARS FROM 1 JUN 2015 TO 31 MAY 2017, AND OPTION TO CONTINUE 1 YEAR","School of Science and Technology, Singapore",232,Awarded to Suppliers,PACIFICLIGHT ENERGY PTE. LTD.
SST000ETT15000011,2015-06-08,"DESIGN AND RENOVATION OF EXISTING INNOVATION & ENTERPRISE (I&E) ROOM & ROBOTICS ROOM TO ROBOTICS@APEX AT BLK C LEVEL 3, SCHOOL OF SCIENCE AND TECHNOLOGY SINGAPORE (SST)","School of Science and Technology, Singapore",147000,Awarded to Suppliers,LEGO HOUSE PTE. LTD.
SST000ETT15000012,2015-06-08,"DESIGN, PROPOSE AND INSTALLATION OF DROP ARM BARRIER SYSTEM WITH IU READER AT FOYER DROP OFF AREA NEAR GATE B, SCHOOL OF SCIENCE AND TECHNOLOGY SINGAPORE (SST)","School of Science and Technology, Singapore",36626,Awarded to Suppliers,Metro Parking (S) Pte Ltd
SST000ETT15000013,2015-06-05,"DESIGN AND RENOVATION OF EXISTING ART, DESIGN, MEDIA AND TECHNOLOGY (ADMT) STUDIO 1 TO MAKERS' SPACE AT BLK C LEVEL 2 SCHOOL OF SCIENCE TECHNOLOGY SINGAPORE (SST)","School of Science and Technology, Singapore",168300,Awarded to Suppliers,LEGO HOUSE PTE. LTD.
SST000ETT15000014,2015-06-08,"DESIGN, PROPOSE AND INSTALLATION OF HEXAGONAL HOMOGENEOUS TILES AT FOYER DROP OFF AREA NEAR GATE B, SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE. (SST)","School of Science and Technology, Singapore",88188,Awarded to Suppliers,SV BROS PTE. LTD.
SST000ETT15000024,2015-12-14,Tender for security services from 1 January 2016 to 31 December 2016 with option to extend for another year (1 Jan 2017 to 31 Dec 2017),"School of Science and Technology, Singapore",0,Awarded to No Suppliers,na
SST000ETT15000025,2015-12-14,Provision of security personnel for a period 1 year from 1 Jan 2016 to 31 Dec 2016 with option to extend for another year till 31 Dec 2017,"School of Science and Technology, Singapore",0,Awarded to No Suppliers,na
