tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
SCB000ETT14000033,2015-02-23,"Tender for the Set-up & Installation, Event Management and Props for DSO National Laboratories Amazing Competition Series - SAFMC, SAMC, ASXC",Science Centre Board,522953.05,Awarded to Suppliers,SPACELOGIC PTE. LTD.
SCB000ETT14000040,2015-04-01,"Tender for the production and provision of 3 STAR (Science Teaching And Resource) kits; (i) Mitosis and Meiosis, (ii) Stability and (iii) Electricity Kits",Science Centre Board,0,Awarded to No Suppliers,na
SCB000ETT14000043,2015-01-16,Rental of Venue Event Spaces for X-PERIMENT! & SCIENCE BUSKERS FESTIVAL 2015 from 10 12 July 2015,Science Centre Board,66400,Awarded to Suppliers,DBS TRUSTEE LIMITED
SCB000ETT15000001,2015-04-09,Media Agency Services for Science Centre Singapore (1 April 2015 - 31 March 2016),Science Centre Board,673500,Awarded to Suppliers,OMD SINGAPORE PTE. LTD.
SCB000ETT15000003,2015-05-15,Tender for the Production and Broadcast of a Science Competition and Lecture on Television 2015,Science Centre Board,939580,Awarded to Suppliers,MEDIACORP PTE. LTD.
SCB000ETT15000004,2015-04-09,The Appointment of an Integrated Communications Agency on a Retainer Basis for period from April 2015 March 2017,Science Centre Board,464000,Awarded to Suppliers,GOLIN/HARRIS INTERNATIONAL PTE LIMITED
SCB000ETT15000008,2015-05-26,Tender for the Engagement of an event company for the event management and logistical support for the highlight events of Singapore Science Festival 2015,Science Centre Board,239720,Awarded to Suppliers,SPACELOGIC PTE. LTD.
SCB000ETT15000009,2015-06-05,Tender for the Design and Fabrication of Signages / Decorations for the revamped Omni-Theatre,Science Centre Board,67176,Awarded to Suppliers,Kingsmen Exhibits Pte Ltd
SCB000ETT15000009,2015-06-05,Tender for the Design and Fabrication of Signages / Decorations for the revamped Omni-Theatre,Science Centre Board,75550,Awarded to Suppliers,SPACELOGIC PTE. LTD.
SCB000ETT15000010,2015-05-11,"Engagement of a company for the provision of hardware, installation, design and venue set-up and teardown of exhibition.",Science Centre Board,449200,Awarded to Suppliers,DEZIGN FORMAT PTE LTD
