tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
SDC000ETT14000035,2015-03-02,INTEGRATED SECURITY SYSTEM FOR SENTOSA ISLAND (PHASE 3),Sentosa Development Corporation,2781830,Awarded to Suppliers,CA M&E ENGINEERING PTE. LTD.
SDC000ETT14000043,2015-02-25,"DESIGN AND BUILD OF LINKWAYS IN SENTOSA, SINGAPORE",Sentosa Development Corporation,0,Awarded to No Suppliers,na
SDC000ETT14000044,2015-03-06,PROVISION OF CONSULTANCY SERVICES FOR PROPOSED SENTOSA PRECINCT PLANNING PHASES ONE TO THREE WITH AN OPTION FOR STRATEGIC PARTNERSHIP - PHASE 1,Sentosa Development Corporation,710200,Awarded to Suppliers,AWP PTE. LTD.
SDC000ETT14000047,2015-05-25,"UPGRADING OF PLATFORM GATE DOOR (PGD) SYSTEM FOR BEACH, IMBIAH AND WATERFRONT EXPRESS STATIONS",Sentosa Development Corporation,770000,Awarded to Suppliers,"SHENZHEN FANGDA AUTOMATIC SYSTEM CO., LTD."
SDC000ETT14000048,2015-04-16,ENHANCEMENT OF LED LIGHTING AT SENTOSA BOARDWALK,Sentosa Development Corporation,429444.5,Awarded to Suppliers,LIGHT10 INDUSTRIES PTE. LTD.
SDC000ETT14000049,2015-02-27,"PROVISION OF MULTI-DISCIPLINARY CONSULTANCY SERVICES FOR PROPOSED ADDITION & ALTERATION WORKS TO PALAWAN EAST, PALAWAN WEST, SILOSO EAST & SILOSO WEST RESTROOMS ALONG PALAWAN AND SILOSO BEACH AT SENTOSA",Sentosa Development Corporation,158400,Awarded to Suppliers,GENOME ARCHITECTS
SDC000ETT14000050,2015-03-11,"DESIGN, FABRICATION & INSTALLATION OF 2 PASSENGER GLASS LIFTS AND CONSTRUCTION OF EXTENSION TO LINKWAYS AND ANCILLARY WORKS AT BEACH STATION, SENTOSA",Sentosa Development Corporation,883000,Awarded to Suppliers,JEI FONG ENGINEERING PTE. LTD.
SDC000ETT14000051,2015-03-11,TERM CONTRACT FOR SENTOSA GUEST SURVEY FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS,Sentosa Development Corporation,1077640,Awarded to Suppliers,THE NIELSEN COMPANY (SINGAPORE) PTE. LTD.
SDC000ETT15000002,2015-05-12,"PROPOSED DESIGN AND BUILD OF ONE SINGLE STOREY ANCILLARY OFFICE BUILDING AND UPGRADING OF EXISTING TEMPORARY PLANT NURSERY, SENTOSA ISLAND",Sentosa Development Corporation,880000,Awarded to Suppliers,WEN YI CONSTRUCTION PTE. LTD.
SDC000ETT15000003,2015-03-31,PROPOSED DESIGN AND FITTING OUT OF TICKETING COUNTER SPACE AT INTRA- ISLAND CABLEWAY STATIONS AND FORT SILOSO SKYWALK ON SENTOSA,Sentosa Development Corporation,114363,Awarded to Suppliers,ILA GROUP PTE. LTD.
SDC000ETT15000004,2015-04-06,"TERM CONTRACT FOR PROVISION OF SECURITY, SAFETY AND SERVICES FOR SENTOSA ISLAND FOR A PERIOD OF THREE (3) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS",Sentosa Development Corporation,776377.6,Awarded to Suppliers,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.
SDC000ETT15000005,2015-04-09,MEDICAL INSURANCE PROGRAMME FOR SENTOSA DEVELOPMENT CORPORATION FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,Sentosa Development Corporation,1053104.85,Awarded to Suppliers,AVIVA LTD
SDC000ETT15000010,2015-04-16,"TERM CONTRACT FOR SUPPLY, DELIVERY, INSTALLATION AND EXECUTION OF PYROTECHNIC AT WINGS OF TIME ATTRACTION FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR",Sentosa Development Corporation,2124504,Awarded to Suppliers,EFFECTS TECHNOLOGIES PTE. LTD.
SDC000ETT15000013,2015-04-01,"TERM CONTRACT FOR MINOR WORKS, SERVICING, MAINTENANCE AND REPAIR OF THE EXISTING ELECTRICAL INSTALLATIONS AT SENTOSA AND SOUTHERN ISLANDS FOR TWO (2) YEARS",Sentosa Development Corporation,961200,Awarded to Suppliers,MKV ENGINEERING AND TRADING SERVICES PTE. LTD.
SDC000ETT15000015,2015-08-17,POST-IMPLEMENTATION REVIEW OF ENTERPRISE RESOURCE PLANNING SYSTEM (ORACLE E-BUSINESS SUITE R12.1.1),Sentosa Development Corporation,429000,Awarded to Suppliers,DELOITTE CONSULTING PTE. LTD.
SDC000ETT15000016,2015-05-22,TERM CONTRACT FOR MINOR WORKS IN SENTOSA COVE FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,Sentosa Development Corporation,998982,Awarded to Suppliers,GOH & FOONG CONTRACTORS PTE LTD
SDC000ETT15000017,2015-06-18,SUPPLY AND DELIVERY OF FOUR (4) UNITS ELECTRIC TRAMS TO SENTOSA DEVELOPMENT CORPORATION,Sentosa Development Corporation,204000,Awarded to Suppliers,POWER FORCE TECHNOLOGIES PTE LTD
SDC000ETT15000018,2015-06-15,"DESIGN AND BUILD FOR SYNTHETIC TURF FIELD INCLUDING MINOR WORKS AT PALAWAN BEACH, SENTOSA",Sentosa Development Corporation,837000,Awarded to Suppliers,ADVANCE SPORTS TECHNOLOGIES PTE. LTD.
SDC000ETT15000021,2015-09-04,PROPOSED SECURITY SURVEILLANCE SYSTEM FOR SENTOSA COVE FORESHORE,Sentosa Development Corporation,529671,Awarded to Suppliers,"TYCO FIRE, SECURITY & SERVICES PTE. LTD."
SDC000ETT15000022,2015-05-21,TERM CONTRACT FOR MINOR WORKS AT SENTOSA FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,Sentosa Development Corporation,2256000,Awarded to Suppliers,SUCCESS FOREVER CONSTRUCTION & MAINTENANCE PTE LTD
SDC000ETT15000023,2015-06-18,SUPPLY AND DELIVERY OF ONE UNIT GOODS VAN AND ONE UNIT OF 10 FOOT TRUCK WITH HYDRAULIC TAIL GATE TO SENTOSA DEVELOPMENT CORPORATION,Sentosa Development Corporation,122820,Awarded to Suppliers,BORNEO MOTORS (SINGAPORE) PTE. LTD.
SDC000ETT15000023,2015-06-18,SUPPLY AND DELIVERY OF ONE UNIT GOODS VAN AND ONE UNIT OF 10 FOOT TRUCK WITH HYDRAULIC TAIL GATE TO SENTOSA DEVELOPMENT CORPORATION,Sentosa Development Corporation,42500,Awarded to Suppliers,Triangle Auto Pte Ltd
SDC000ETT15000024,2015-08-05,"PROPOSED DESIGN, SUPPLY AND INSTALLATION OF AUTOMATIC IRRIGATION SYSTEM FOR FIRST ROUNDABOUT SLOPE AND ARTILLERY AVENUE,SENTOSA",Sentosa Development Corporation,0,Awarded to No Suppliers,na
