tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
INDSCGETT15000001,2015-04-14,Design & build for the upgrading of 6 Science Laboratories (including 3 preparation rooms) and 2 Home Economics Kitchens (including 1 preparation room),Singapore Chinese Girls' School,1880000,Awarded to Suppliers,ONG TENG CHONG BUILDING CONTRACTOR PTE LTD
INDSCGETT15000004,2015-05-04,"During the 9 days, students will visit places of literary relevance, such as Stratford and London. At these venues they will partake in theatre experiences, go on literary tours and be exposed to the various types of writing. Students will immerse themselves in the language and the culture of the country, through the use of teacher-conducted lessons, supported by the places visited and the texts employed.",Singapore Chinese Girls' School,71764,Awarded to Suppliers,FORTUNE TRAVEL PTE LTD
INDSCGETT15000005,2015-05-25,Summer Exchange Programme to UC Berkeley,Singapore Chinese Girls' School,102796,Awarded to Suppliers,GOLDEN TRAVEL SERVICES PTE LTD
INDSCGETT15000006,2015-08-14,"5-day Band Trip to Hong Kong where students will participate in music workshops, band exchanges with local school bands and perform at Disneyland.",Singapore Chinese Girls' School,89375,Awarded to Suppliers,SINO-GLOBAL TRAVEL PTE. LTD.
INDSCGETT15000013,2015-10-01,World Readiness Trip to Cambridge 2015,Singapore Chinese Girls' School,162600,Awarded to Suppliers,FORTUNE TRAVEL PTE LTD
INDSCGETT15000015,2015-10-30,Procurement of 42 units of 21.5inch and 3 units of 27inch iMac,Singapore Chinese Girls' School,91080,Awarded to Suppliers,SAPURA SYNERGY SINGAPORE PTE. LTD.
INDSCGETT16000005,2016-04-13,9D Humanities Learning Journey to South Korea,Singapore Chinese Girls' School,56367,Awarded to Suppliers,Transinex Pte Ltd
INDSCGETT16000008,2016-04-26,Appointment of 3 Ballet Instructors from 3 May 2016 to 30 Apr 2017.,Singapore Chinese Girls' School,33920,Awarded to Suppliers,HARIJANTO VANESSA DEWI
INDSCGETT16000008,2016-04-26,Appointment of 3 Ballet Instructors from 3 May 2016 to 30 Apr 2017.,Singapore Chinese Girls' School,39840,Awarded to Suppliers,TAN SEE HANG
INDSCGETT16000008,2016-04-26,Appointment of 3 Ballet Instructors from 3 May 2016 to 30 Apr 2017.,Singapore Chinese Girls' School,13440,Awarded to Suppliers,"TEE HAN YING, JILYN"
INDSCGETT16000009,2016-05-16,"11-day Literature enriched learning trip to the United Kingdom, including places such as Stratford and London. Students will participate in workshops, view theatre productions and learn about literary history.",Singapore Chinese Girls' School,116505,Awarded to Suppliers,FORTUNE TRAVEL PTE LTD
INDSCGETT16000010,2016-05-03,Additions & Alteration works to: A. Existing Air Conditioning Works & Ductings at General Office & Seminar Room 2. B. All new LED Lighting Fixtures at General Office.,Singapore Chinese Girls' School,88888,Awarded to Suppliers,KIM HUAT REFRIGERATION AND ELECTRICAL PTE LTD
INDSCGETT16000011,2016-06-08,Procurement of 45 units of Tablet PC,Singapore Chinese Girls' School,98910,Awarded to Suppliers,AsiaPac Distribution Pte Ltd
INDSCGETT16000012,2016-09-14,"To organise and facilitate a 12-day World Readiness Trip to Cambridge, UK",Singapore Chinese Girls' School,142228,Awarded to Suppliers,GOLDEN TRAVEL SERVICES PTE LTD
INDSCGETT16000013,2016-09-28,Regular Maintenance of Landscape Areas and Grass Cutting with compulsory site view on 30 Aug 2016 @ 10am,Singapore Chinese Girls' School,51840,Awarded to Suppliers,BAN NEE CHEN PTE. LTD.
INDSCGETT16000014,2016-10-03,"Additions & Alteration works to existing Air-conditioning System at Level 2 & 3 Secondary Staff Rooms, Jasmine Room & Level 4 Library with compulsory site viewing on Thursday 8 September 2016. (Turn-key Solutions)",Singapore Chinese Girls' School,330000,Awarded to Suppliers,Air Venture Airconditioning Pte Ltd
INDSCGETT16000015,2016-11-10,"Cleaning Services from 1 Dec 2016 to 30 Nov 2018 with option to extend contract for further 1 year period. Compulsory site viewing on Monday, 26 Sep 2016 at 10am.",Singapore Chinese Girls' School,746340,Awarded to Suppliers,WEISHEN INDUSTRIAL SERVICES PTE LTD
INDSCGETT17000005,2017-04-19,"Refer to Annex A,Annex B and C",Singapore Chinese Girls' School,395743,Awarded to Suppliers,Air Venture Airconditioning Pte Ltd
INDSCGETT17000006,2017-04-19,11 Day Literature Enriched Learning Trip to the United Kingdom 2017,Singapore Chinese Girls' School,105850,Awarded to Suppliers,FORTUNE TRAVEL PTE LTD
INDSCGETT17000007,2017-04-26,Appointment of Ballet Instructor from 2 May 2017 to 30 April 2018,Singapore Chinese Girls' School,35060,Awarded to Suppliers,HARIJANTO VANESSA DEWI
INDSCGETT17000007,2017-04-26,Appointment of Ballet Instructor from 2 May 2017 to 30 April 2018,Singapore Chinese Girls' School,45680,Awarded to Suppliers,TAN SEE HANG
INDSCGETT17000007,2017-04-26,Appointment of Ballet Instructor from 2 May 2017 to 30 April 2018,Singapore Chinese Girls' School,16380,Awarded to Suppliers,"TEE HAN YING, JILYN"
INDSCGETT17000008,2017-10-05,11-days & 9- nights World Readiness Trip to Cambridge,Singapore Chinese Girls' School,130304,Awarded to Suppliers,GLOBAL INTERNATIONAL TRAVEL PTE. LTD.
INDSCGETT17000011,2017-11-24,Bus Transport Services for School Activities 2018 (with option to extend for 1 year),Singapore Chinese Girls' School,105600,Awarded to Suppliers,SAY GUAN TRANSPORT SERVICES
INDSCGETT17000012,2017-12-29,Supply and Delivery of 2 in 1 Convertible Laptops,Singapore Chinese Girls' School,471900,Awarded to Suppliers,TECHXPRESS PTE. LTD.
