tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
SCO000ETT14000016,2015-01-08,PROVISION OF LOGISTICAL EXPERTISE IN THE MANAGEMENT OF DISTRIBUTION AND WAREHOUSE OPERATIONS IN CHANGI PRISON COMPLEX FOR A PERIOD OF TWO YEARS WITH AN OPTION TO EXTEND ANOTHER TWO YEARS,Singapore Corporation of Rehabilitative Enterprises,15878700,Awarded to Suppliers,A-SONIC LOGISTICS PTE. LTD.
SCO000ETT14000020,2015-03-02,TENDER FOR THE SUPPLY AND DELIVERY OF HOSPITAL WARD LINEN,Singapore Corporation of Rehabilitative Enterprises,578680,Awarded to Suppliers,Bourgeois Enterprise
SCO000ETT14000024,2015-02-23,"SUPPLY AND DELIVERY OF MILD STEEL MATERIALS, BRC WELDED MESH, RUBBER BUMPER AND HOT DIP GALVANISING SERVICE FOR A PERIOD OF TWO YEARS",Singapore Corporation of Rehabilitative Enterprises,0,Awarded to No Suppliers,na
SCO000ETT14000027,2015-01-08,PROVISION OF EXPERTISE AND STAFF TO MANAGE THE KITCHENS LOCATED WITHIN PRISONS FOR A PERIOD OF THREE (3) YEARS WITH AN OPTION TO EXTEND ANOTHER TWO (2) YEARS,Singapore Corporation of Rehabilitative Enterprises,5632800,Awarded to Suppliers,ELSIE'S KITCHEN CATERING SERVICES PTE. LTD.
SCO000ETT14000029,2015-02-17,Supply and delivery of food ration for a period of one (1) year with an option to extend up to one (1) year,Singapore Corporation of Rehabilitative Enterprises,1042768,Awarded to Suppliers,ALL BIG FROZEN FOOD PTE LTD
SCO000ETT14000029,2015-02-17,Supply and delivery of food ration for a period of one (1) year with an option to extend up to one (1) year,Singapore Corporation of Rehabilitative Enterprises,2937192,Awarded to Suppliers,BEN FOODS (S) PTE LTD
SCO000ETT14000029,2015-02-17,Supply and delivery of food ration for a period of one (1) year with an option to extend up to one (1) year,Singapore Corporation of Rehabilitative Enterprises,1183730,Awarded to Suppliers,FU ZHONG HUA (IMP & EXP) PTE LTD
SCO000ETT14000029,2015-02-17,Supply and delivery of food ration for a period of one (1) year with an option to extend up to one (1) year,Singapore Corporation of Rehabilitative Enterprises,2691195,Awarded to Suppliers,LEONG GUAN FOOD TRADING PTE. LTD.
SCO000ETT14000029,2015-02-17,Supply and delivery of food ration for a period of one (1) year with an option to extend up to one (1) year,Singapore Corporation of Rehabilitative Enterprises,664712,Awarded to Suppliers,LI CHUAN FOOD PRODUCTS PTE LTD
SCO000ETT14000029,2015-02-17,Supply and delivery of food ration for a period of one (1) year with an option to extend up to one (1) year,Singapore Corporation of Rehabilitative Enterprises,9446364,Awarded to Suppliers,Thong Chew Food Industries Pte Ltd
SCO000ETT14000030,2015-01-12,Supply and delivery of fruit jam for a period of one (1) year with another year as an option,Singapore Corporation of Rehabilitative Enterprises,282000,Awarded to Suppliers,GREEN TROPIC PRODUCTS PTE LTD
SCO000ETT14000032,2015-02-03,Supply and delivery of (1) Well Milled White Rice and/or (2) Edible Vegetable Cooking Oil,Singapore Corporation of Rehabilitative Enterprises,617500,Awarded to Suppliers,GAN HUP LEE (1999) PTE LTD
SCO000ETT14000032,2015-02-03,Supply and delivery of (1) Well Milled White Rice and/or (2) Edible Vegetable Cooking Oil,Singapore Corporation of Rehabilitative Enterprises,392400,Awarded to Suppliers,NGO CHEW HONG EDIBLE OIL PTE. LTD.
SCO000ETT14000033,2015-02-17,"Supply and delivery of Bread Fat (Shortening) and/or Pan Oil, for a period of one year with an option to extend up to 12 months.",Singapore Corporation of Rehabilitative Enterprises,131720,Awarded to Suppliers,NGO CHEW HONG EDIBLE OIL PTE. LTD.
SCO000ETT14000034,2015-01-12,"Supply of labour, tools, equipment, parts and materials for the maintenance of a laundry water recycling plant for a period of two (2) years with an option to extend for one (1) year.",Singapore Corporation of Rehabilitative Enterprises,236448,Awarded to Suppliers,"AQUARECYCLE, LLC"
SCO000ETT14000035,2015-05-28,Supply and delivery of assorted flavour packet-drinks for a period of one year with an option to extend up to 12 months,Singapore Corporation of Rehabilitative Enterprises,0,Awarded to No Suppliers,na
SCO000ETT15000001,2015-04-30,Supply and delivery of hospital ward linen,Singapore Corporation of Rehabilitative Enterprises,42400,Awarded to Suppliers,Bourgeois Enterprise
SCO000ETT15000001,2015-04-30,Supply and delivery of hospital ward linen,Singapore Corporation of Rehabilitative Enterprises,56700,Awarded to Suppliers,FG CONCEPTS PRIVATE LIMITED
SCO000ETT15000001,2015-04-30,Supply and delivery of hospital ward linen,Singapore Corporation of Rehabilitative Enterprises,31200,Awarded to Suppliers,MEGATEX MARKETING
SCO000ETT15000001,2015-04-30,Supply and delivery of hospital ward linen,Singapore Corporation of Rehabilitative Enterprises,31200,Awarded to Suppliers,Waygood Industries Pte Ltd
SCO000ETT15000002,2015-05-25,"Supply, delivery, installation, testing and commissioning of two units Lint Filtration System with air flow rate not less than 6,000 cfm for SCOREs Linen Division",Singapore Corporation of Rehabilitative Enterprises,43655,Awarded to Suppliers,POLYTEK ENGINEERING
SCO000ETT15000003,2015-07-29,Provision Of Internal Audit Services To Singapore Corporation Of Rehabilitative Enterprises (Score) For A Period Of 3 Years (2015-2017),Singapore Corporation of Rehabilitative Enterprises,79800,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.
SCO000ETT15000004,2015-05-22,"supply and delivery of UHT Low Fat Milk, High Calcium for a period of one year with an option to extend one year.",Singapore Corporation of Rehabilitative Enterprises,90000,Awarded to Suppliers,MALAYSIA DAIRY INDUSTRIES PRIVATE LIMITED
SCO000ETT15000005,2015-06-18,Supply and Delivery of Table Margarine for a period of one year with an option to extend one year,Singapore Corporation of Rehabilitative Enterprises,211520,Awarded to Suppliers,NGO CHEW HONG EDIBLE OIL PTE. LTD.
SCO000ETT15000006,2015-06-09,"Provision of event management, support and coordination of the Yellow Ribbon Prison Run 2015 with an option to extend the service for Yellow Ribbon Prison Run 2016",Singapore Corporation of Rehabilitative Enterprises,1357250,Awarded to Suppliers,Adventurer's Singapore Pte Ltd
SCO000ETT15000007,2015-08-05,"Supply of labour, tools, equipment, parts and materials for the replacement of the outer shell of Senking Tunnel Washers from Module 5 to Module 7, P50-15-1096844/001 and 1096844/003.",Singapore Corporation of Rehabilitative Enterprises,185690,Awarded to Suppliers,Jensen Asia Pte Ltd
SCO000ETT15000008,2015-06-22,"Supply and Delivery of Instant Noodles, Packet; Assorted Flavours for a period of one year with an option to extend another one year",Singapore Corporation of Rehabilitative Enterprises,124800,Awarded to Suppliers,Thong Chew Food Industries Pte Ltd
SCO000ETT15000009,2015-06-19,SUPPLY AND DELIVERY OF WHEAT FLOUR AND WHOLEMEAL FLOUR FOR A PERIOD OF SIX (6) MONTHS WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) MONTH,Singapore Corporation of Rehabilitative Enterprises,664832.6,Awarded to Suppliers,PRIMA LIMITED
SCO000ETT15000010,2015-06-09,Supply and delivery of pre-packed food items for the Ramadan period 18/06/2015 to 17/07/2015,Singapore Corporation of Rehabilitative Enterprises,270000,Awarded to Suppliers,Thong Chew Food Industries Pte Ltd
SCO000ETT15000011,2015-11-09,Provision of Professional IT Management Services for a period of one year with an option to extend for another two years to be exercised on a year by year basis,Singapore Corporation of Rehabilitative Enterprises,848780,Awarded to Suppliers,ARISTOU PTE. LTD.
SCO000ETT15000012,2015-10-22,Provision of services for a job evaluation exercise for a period of one (1) year,Singapore Corporation of Rehabilitative Enterprises,51500,Awarded to Suppliers,WILLIS TOWERS WATSON CONSULTING (SINGAPORE) PTE. LTD.
SCO000ETT15000013,2015-11-11,Supply and delivery of beverages (Coffee and Tea Mix) for a period of 1 year with an option to extend 1 year,Singapore Corporation of Rehabilitative Enterprises,2109260,Awarded to Suppliers,THONG HAI PTE. LTD.
SCO000ETT15000014,2016-03-28,Provision of legal service under a general retainer arrangement with an option to purchase additional dispute resolution service on a fixed hourly rate basis for a period of 1 year with renewal option for another year,Singapore Corporation of Rehabilitative Enterprises,296000,Awarded to Suppliers,LEE & LEE
SCO000ETT15000015,2015-10-22,Provision of consultancy services for the development of Next Generation Enterprise Resource and Planning (NEX-GEN ERP) system.,Singapore Corporation of Rehabilitative Enterprises,215000,Awarded to Suppliers,KPMG SERVICES PTE. LTD.
SCO000ETT15000016,2015-11-11,Provision of Audit Services for Halfway House for a period of one year with option to extend for another year,Singapore Corporation of Rehabilitative Enterprises,32260,Awarded to Suppliers,AUDIT ALLIANCE LLP
SCO000ETT15000018,2016-05-23,Invitation to Tender for Period Contract to Supply and Deliver Disposable Kitchen and Food Packaging Materials for a Period of One Year with an Option to Extend for Another Year,Singapore Corporation of Rehabilitative Enterprises,129194.52,Awarded to Suppliers,CHENG MOH HUAT TRADING SUPPLIER CO
SCO000ETT15000019,2016-02-03,Provision of services for conduct of WSQ courses for inmates,Singapore Corporation of Rehabilitative Enterprises,769680,Awarded to Suppliers,NTUC LEARNINGHUB PTE. LTD.
SCO000ETT15000019,2016-02-03,Provision of services for conduct of WSQ courses for inmates,Singapore Corporation of Rehabilitative Enterprises,530130,Awarded to Suppliers,SSA ACADEMY PTE. LTD.
