tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
EAB000ETT14000013,2015-03-05,Provision of Security Personnel to Singapore Examinations and Assessment Board,Singapore Examinations and Assessment Board,1753300,Awarded to Suppliers,FRONTLINE SECURITY PTE. LTD.
EAB000ETT14000014,2015-03-10,Provision of Integrated Facilities Management Services to Singapore Examinations and Assessment Board,Singapore Examinations and Assessment Board,4408000,Awarded to Suppliers,CPG Facilities Management Pte Ltd
EAB000ETT15000001,2015-03-30,Tender for Appointment of Insurance Broker to Provide Brokerage Consultancy Services on Insurance Coverage,Singapore Examinations and Assessment Board,341566.82,Awarded to Suppliers,HOWDEN INSURANCE BROKERS (S.) PTE. LIMITED
EAB000ETT15000002,2015-03-17,"Provision of Venue, Facilities and Other Related Services for the Conduct of 2015 and 2016 Tests",Singapore Examinations and Assessment Board,388000,Awarded to Suppliers,SINGEX VENUES INTERNATIONAL PTE. LTD.
EAB000ETT15000004,2015-04-05,"Printing, Packing and Delivery of 2015 Optical Mark Reader Forms (OMR) including the provision of data printing services",Singapore Examinations and Assessment Board,2125,Awarded to Suppliers,SECURA SINGAPORE PTE. LTD.
EAB000ETT15000004,2015-04-05,"Printing, Packing and Delivery of 2015 Optical Mark Reader Forms (OMR) including the provision of data printing services",Singapore Examinations and Assessment Board,282271.7,Awarded to Suppliers,Toppan Forms (S) Pte Ltd
EAB000ETT15000005,2015-04-20,"Supply, Printing, Packing and Delivery of Stationery for 2015 National Exams",Singapore Examinations and Assessment Board,337733,Awarded to Suppliers,Standard Form Pte Ltd
EAB000ETT15000008,2015-05-21,"Provision of Application Delivery, Maintenance, Support and Hosting Services for the Online Mathematics Test",Singapore Examinations and Assessment Board,300912,Awarded to Suppliers,HEULAB PTE. LTD.
EAB000ETT15000009,2015-06-23,Provision of Legal Services to SEAB for a period of 1 Year (01 July 2015 to 30 June 2016) with an option to renew for 1 year (01 July 2016 to 30 June 2017) and further option to renew for another 1 year (01 July 2017 to 30 June 2018),Singapore Examinations and Assessment Board,5350,Awarded to Suppliers,KHATTARWONG LLP
EAB000ETT15000010,2015-08-11,Provision of Overseas Courier Services inclusive of dedicated run to reach destination (by Noon or by 1400 hrs) on next working day and Provision of on-site packaging and palletising services,Singapore Examinations and Assessment Board,381712.5,Awarded to Suppliers,DHL EXPRESS (SINGAPORE) PTE. LTD.
EAB000ETT15000011,2016-01-08,"Provision of Venue, Facilities and Services for the Conduct of Tests in September 2016 and February 2017",Singapore Examinations and Assessment Board,0,Awarded to No Suppliers,na
EAB000ETT15000012,2016-02-03,"Provision of Venue, Facilities and Services for 2016 SEAB Assessment Seminar",Singapore Examinations and Assessment Board,77000,Awarded to Suppliers,Grand Copthorne Waterfront Hotel Singapore
EAB000ETT16000001,2016-03-17,"Provision of Venue, Facilities and Services for the Conduct of Tests in September 2016 and February 2017",Singapore Examinations and Assessment Board,402000,Awarded to Suppliers,SINGEX VENUES INTERNATIONAL PTE. LTD.
EAB000ETT16000004,2016-05-24,Lease of two digital production photocopiers for a period of five years,Singapore Examinations and Assessment Board,182100,Awarded to Suppliers,RICOH (SINGAPORE) PTE LTD
EAB000ETT16000005,2016-04-26,"Printing, packing and delivery of Optical Mark Reader Forms, including the provision of data printing services",Singapore Examinations and Assessment Board,2300,Awarded to Suppliers,SECURA SINGAPORE PTE. LTD.
EAB000ETT16000005,2016-04-26,"Printing, packing and delivery of Optical Mark Reader Forms, including the provision of data printing services",Singapore Examinations and Assessment Board,299553.76,Awarded to Suppliers,Toppan Forms (S) Pte Ltd
EAB000ETT16000006,2016-06-01,Enhancement of Existing Closed Circuit Television (CCTV) System in Singapore Examinations and Assessment Board,Singapore Examinations and Assessment Board,59747,Awarded to Suppliers,Nextan Pte Ltd
EAB000ETT16000008,2016-05-05,"Supplying, printing, packing and delivery of Stationery and Printed Materials",Singapore Examinations and Assessment Board,293999.9,Awarded to Suppliers,Standard Form Pte Ltd
EAB000ETT16000009,2016-08-17,Application Development and Maintenance Services for SEAB's Intranet and Knowledge Management System,Singapore Examinations and Assessment Board,810000,Awarded to Suppliers,Commerce Online Pte Ltd
EAB000ETT16000011,2016-10-18,Provision of Services for the Digitisation of Hardcopy Documents in SEAB,Singapore Examinations and Assessment Board,373000,Awarded to Suppliers,SDB SOLUTIONS & SERVICES PTE. LTD.
EAB000ETT16000013,2017-03-13,"Provision of Venue, Facilities and Services for the Conduct of Tests in September 2017 and February/March 2018",Singapore Examinations and Assessment Board,382135,Awarded to Suppliers,SINGEX VENUES INTERNATIONAL PTE. LTD.
EAB000ETT17000001,2017-05-05,Project Management Consultancy Services for the Demolition of Existing Buildings and Redevelopment of Singapore Examinations and Assessment Board Premises at 298 Jalan Bukit Ho Swee,Singapore Examinations and Assessment Board,0.73,Awarded to Suppliers,SIPM CONSULTANTS PTE. LTD.
EAB000ETT17000002,2017-05-09,"Multi-Disciplinary of Architectural, Civil & Structural Engineering, Mechanical & Electrical Engineering and Quantity Surveying Consultancy Services for the Demolition of Existing Buildings and Redevelopment of Singapore Examinations and Assessment Board Premises at 298 Jalan Bukit Ho Swee",Singapore Examinations and Assessment Board,3.27,Awarded to Suppliers,SURBANA JURONG CONSULTANTS PTE. LTD.
EAB000ETT17000003,2017-04-25,"Printing, packing and delivery of 2017 Optical Mark Reader Forms, including the provision of data printing services",Singapore Examinations and Assessment Board,324266.4,Awarded to Suppliers,Toppan Forms (S) Pte Ltd
