tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
SLA000ETT03000091,2015-06-05,FOR THE PROVISION OF SVY21 DATA CONVERSION SERVICES/CONSULTANCY SERVICES FOR VARIOUS GOVERNMENT AND PRIVATE ENTITIES,Singapore Land Authority,0,Awarded to No Suppliers,na
SLA000ETT03000105,2015-06-05,TENDER FOR TERM CONTRACT FOR SECURITY SERVICES TO VACANT GOVERNMENT PROPERTIES FOR PERIOD OF ONE YEAR FROM 1ST FEBRUARY 2004 TO 31ST JANUARY 2005,Singapore Land Authority,0,Awarded to No Suppliers,na
SLA000ETT04000007,2015-06-05,"Tender for Printing, Enveloping and Mailing of Statutory Notices",Singapore Land Authority,0,Awarded to No Suppliers,na
SLA000ETT04000017,2015-06-05,"CONSTRUCTION OF GABION WALL TO EXISTING SHORELINE AT OBS, PULAU UBIN",Singapore Land Authority,0,Awarded to No Suppliers,na
SLA000ETT05000023,2015-06-05,Hardware and Software maintenance support for HP Alpha Machine,Singapore Land Authority,0,Awarded to No Suppliers,na
SLA000ETT14000013,2015-02-11,"INVITATION TO TENDER FOR THE PROVISION OF OFFICE FACILITIES MANAGEMENT, REPAIR AND MAINTENANCE AND RELATED SERVICES TO THE SINGAPORE LAND AUTHORITY FOR A PERIOD OF TWENTY-FOUR (24) MONTHS WITH AN OPTION TO EXTEND FOR ANOTHER TWELVE (12) MONTHS",Singapore Land Authority,116100,Awarded to Suppliers,GDS ENGINEERING PTE LTD
SLA000ETT14000023,2015-02-18,"INVITATION TO TENDER FOR THE DESIGN, DEVELOPMENT, SUPPLY, DELIVERY, INSTALLATION, TESTING, MIGRATION AND COMMISSIONING OF, AND THE PROVISION OF TRAINING FOR, A FULLY OPERATIONAL WEB-BASED INTEGRATED LAND INFORMATION SERVICE (INLIS 4) SYSTEM FOR THE SINGAPORE LAND AUTHORITY WITH AN OPTION FOR OPERATION, SUPPORT AND MAINTENANCE OF THE SYSTEM",Singapore Land Authority,1554059,Awarded to Suppliers,TECH MAHINDRA LIMITED (SINGAPORE BRANCH)
SLA000ETT14000025,2015-01-22,INVITATION TO TENDER FOR THE PROVISION OF PATROLLING SERVICES AND OTHER RELATED SERVICES IN RESPECT OF VACANT STATE PROPERTIES FOR A PERIOD OF THIRTY- SIX (36) MONTHS EAST AND WEST ZONES OF SINGAPORE,Singapore Land Authority,4587000,Awarded to Suppliers,FRONTLINE SECURITY PTE. LTD.
SLA000ETT14000025,2015-01-22,INVITATION TO TENDER FOR THE PROVISION OF PATROLLING SERVICES AND OTHER RELATED SERVICES IN RESPECT OF VACANT STATE PROPERTIES FOR A PERIOD OF THIRTY- SIX (36) MONTHS EAST AND WEST ZONES OF SINGAPORE,Singapore Land Authority,2572166.67,Awarded to Suppliers,SECURUS PTE. LTD.
SLA000ETT14000030,2015-05-21,"INVITATION TO TENDER FOR THE SUPPLY OF A MOBILE LIDAR & IMAGERY SYSTEM AND THE SUPPLY OF SERVICES FOR THE CREATION, DELIVERY AND INTEGRATION OF 3D DIGITAL MODELS OF SINGAPORE",Singapore Land Authority,4400160,Awarded to Suppliers,AAM PTY LTD
