tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
SPO000ETT14000109,2015-01-07,"ED14/0235 Proposed upgrading of computer room air-conditioning units at SPICE Centre 1, Singapore Polytechnic",Singapore Polytechnic,496000,Awarded to Suppliers,LITTLE SWAN AIR-CONDITIONING & ENGINEERING PTE. LTD.
SPO000ETT14000111,2015-05-15,"ME14/0043-V1 Tender for Supply, Delivery, Installation and Commissioning of used and serviceable Turbofan Aircraft and Turboprop Aircraft",Singapore Polytechnic,0,Awarded to No Suppliers,na
SPO000ETT14000112,2015-01-08,"RD14/0048-V1 - Supply, delivery, installation and commissioning one unit of Bead Mill and accessories for grinding and dispersing nanomaterials. For more details, pls contact requestor: Mr Low Aik Seng Tel: 65902779, Email: low_aik_seng@sp.edu.sg",Singapore Polytechnic,0,Awarded to No Suppliers,na
SPO000ETT14000113,2015-03-03,"ET14/0110 Supply of equipment, tools and site service for installation, testing and commissioning of distributed control system",Singapore Polytechnic,0,Awarded to No Suppliers,na
SPO000ETT14000114,2015-01-02,"CI14/0069 Supply, delivery and implementation of vulnerability scanning and security monitoring solution with maintenance and support for 4 years",Singapore Polytechnic,188587,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD
SPO000ETT14000115,2015-01-05,"ED14/0250 Proposed A&A works to CBLS Lab at T11A level 4, Singapore Polytechnic",Singapore Polytechnic,338800,Awarded to Suppliers,I-UNITY BUILDERS PTE. LTD.
SPO000ETT14000116,2015-02-05,ED14/0208 Proposed additions & alterations to existing mechanical & electrical systems for teaching block 11B at Singapore Polytechnic,Singapore Polytechnic,923600,Awarded to Suppliers,LUOVA ENGINEERING PTE. LTD.
SPO000ETT14000117,2015-03-17,"CI14/0068 Tender for supply, delivery, installation, configuration, testing, documentation, commissioning and maintenance of firewall & bandwidth management devices",Singapore Polytechnic,642998,Awarded to Suppliers,NCS PTE. LTD.
SPO000ETT14000118,2015-01-28,"ED14/0238 Nominated Sub-Contract for proposed audio visual works at the proposed SP expansion involving new erection of 3 blocks 4-8 storey bldg. comprising of classrooms, food courts, multi-storey carpark & other ancillary works.",Singapore Polytechnic,754557,Awarded to Suppliers,PAVE System Pte Ltd
SPO000ETT14000121,2015-03-23,"CI14/0079 Design, develop, implement, deploy and maintain a design thinking online platform (DTOP)",Singapore Polytechnic,186900,Awarded to Suppliers,FPT ASIA PACIFIC PTE. LTD.
SPO000ETT14000123,2015-02-06,"ET14/0134 Tender for training package for 10-40 students and 1 staff on OITP trip to Civil Aviation University of China (CAUC), China from 7 Mar 2015 to 18 Apr 2015",Singapore Polytechnic,57236,Awarded to Suppliers,RJ EDUCATION GROUP (S) PTE. LTD.
SPO000ETT14000124,2015-02-02,"ET14/0135 Tender for Training Package for 5-30 students and 1 staff on OITP to AGLC, Thailand from 7 Mar 2015 to 18 Apr 2015",Singapore Polytechnic,24156,Awarded to Suppliers,GRENZONE PTE. LTD.
SPO000ETT14000126,2015-04-06,ED14/0273 Proposed additions & alterations to existing 5-storey main library building & 4-sorey library annex building (phase one) at Singapore Polytechnic,Singapore Polytechnic,0,Awarded to No Suppliers,na
SPO000ETT14000127,2015-05-06,"ME14/0077 Tender For Supply, Delivery, Install and Commission of High Accuracy Rapid Prototyping Machine",Singapore Polytechnic,0,Awarded to No Suppliers,na
SPO000ETT14000132,2015-01-05,ED14/0279 Proposed renovation works to LT12A & LT12B of Singapore Polytechnic,Singapore Polytechnic,622116,Awarded to Suppliers,Eng Hiap Kiong General Contractor Pte Ltd
SPO000ETT14000133,2015-04-07,CI14/0075 Supply and delivery of 3 years joint-IHL term contract for Microsoft volume licensing enrolment for education solutions,Singapore Polytechnic,1350000,Awarded to Suppliers,UIC Asian Computer Services Pte Ltd
SPO000ETT14000135,2015-02-03,ED14/0293 Term contract for provision of transport and mover from 1 April 2015 to 31 March 2017,Singapore Polytechnic,120000,Awarded to Suppliers,SYDHA MOVERS PTE. LTD.
SPO000ETT14000136,2015-02-04,"ME14/0087-V1 Tender for training package for 1-60 EEE students and 1-60 MAE students and 1-5 staff on OITP trip to Changchun, China from 7 Mar 15 to 18 Apr 15",Singapore Polytechnic,211774,Awarded to Suppliers,STARWORLD INFOTECH PTE. LTD.
SPO000ETT14000137,2015-01-22,"ET14/0142 TENDER FOR THE SUPPLY OF EQUIPMENT, TOOLS AND SITE SERVICE FOR INSTALLATION, TESTING AND COMMISSIONING OF WATER COOLED CHILLER SYSTEM",Singapore Polytechnic,124500,Awarded to Suppliers,GENETRON ENGINEERING CORPORATION (PRIVATE) LIMITED
SPO000ETT14000138,2015-03-16,"ET14/0145 TENDER FOR THE SUPPLY OF EQUIPMENT, TOOLS AND SITE SERVICE FOR INSTALLATION, TESTING AND COMMISSIONING OF WIRELESS INSTRUMENTATION SYSTEM",Singapore Polytechnic,0,Awarded to No Suppliers,na
SPO000ETT14000139,2015-03-03,"ME14/0089 Tender For Supply, Delivery, Install and Commission of Vibration Fundamentals Equipment",Singapore Polytechnic,78000,Awarded to Suppliers,FOCUS SCIENCE TECHNOLOGY SERVICES PTE. LTD.
SPO000ETT14000140,2015-02-04,"MA14/0075 Tender for the purchase of Overseas Trips on-board ship for students and staffs of Singapore Polytechnic from School of Singapore Maritime Academy, School of Business and School of Architecture & Built Environment for the period between March 2015 to October 2015",Singapore Polytechnic,300522,Awarded to Suppliers,STAR CRUISE TRAVEL SERVICE PTE LTD
SPO000ETT14000141,2015-02-03,"ED14/0305 Nominated sub-contract for supply & installation of 2 hours insulated fire rated fabric & metal shutter at the proposed Singapore Polytechnic campus expansion involving new erection of 3 blocks 4-8 storey building comprising of classrooms, food courts, multi-storey carpark & other ancillary works",Singapore Polytechnic,620390,Awarded to Suppliers,K. A. FABRIC SHUTTERS PTE. LTD.
SPO000ETT14000142,2015-03-11,"ME14/0081 Tender for supply, installation, commissioning and providing training pertaining to Heart Simulator",Singapore Polytechnic,143180.75,Awarded to Suppliers,VIVITRO LABS INC.
SPO000ETT14000143,2015-01-02,"RD14/0056-V1 - One Unit of Research Type Inverted Microscope with Accessories. For further clarifications regarding the Specifications, please contact: Dr Win Tun Latt, tel: 68704774, Email: WIN_TUN_LATT@SP.EDU.SG",Singapore Polytechnic,87200,Awarded to Suppliers,EINST TECHNOLOGY PTE. LTD.
SPO000ETT14000144,2015-03-04,"ET14/0164 Tender for supply, delivery, installation and commissioning of RF Generators",Singapore Polytechnic,86376,Awarded to Suppliers,ROHDE & SCHWARZ REGIONAL HEADQUARTERS SINGAPORE PTE. LTD.
SPO000ETT14000145,2015-02-02,SA14/0120 Tender for 5 Days/4 Nights Overseas Sports Enrichment Programme for 80 to 95 students and coaches and 2 to 3 Staff to Hong Kong from 20 to 24 March 2015,Singapore Polytechnic,100355,Awarded to Suppliers,SUN-CITY TRAVEL & TOURS PTE LTD
SPO000ETT14000146,2015-06-16,"ED14/0266 Proposed replacement of AHU & chilled water piping at main library & annex building, Singapore Polytechnic",Singapore Polytechnic,830000,Awarded to Suppliers,BNF Engineering (S) Pte Ltd
SPO000ETT14000148,2015-01-22,"CL14/0232 and tender ref:SP/CLS/14/0062/TNM To supply, deliver, install and commission of one unit of simultaneous TGA and DSC as attached specification.",Singapore Polytechnic,78500,Awarded to Suppliers,Mettler-Toledo (S) Pte Ltd
SPO000ETT14000149,2015-04-13,"AS14/0035 Tender for deliver, install & maintain 2 Heavy Duty Photocopiers for a period of 5 years from 1 April 2015 to 31 March 2020",Singapore Polytechnic,18788,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd
SPO000ETT14000150,2015-02-12,"ET14/0133-V1 Tender for Overseas Industrial Training Programme (oITP) to loT Research Insitute, Wuxi, China from 7 March 2015 to 18 April 2015",Singapore Polytechnic,0,Awarded to No Suppliers,na
SPO000ETT14000151,2015-05-08,CI14/0097 Implementation of workflow and forms product for sharepoint 2013 and development of two custom applications,Singapore Polytechnic,0,Awarded to No Suppliers,na
SPO000ETT14000152,2015-02-11,"DT14/0015 - Appointment of Evaluation Consultant for IFL. For more details/clarifications, pls contact requestor: Mr. V. Maheantharan, directly.",Singapore Polytechnic,0,Awarded to No Suppliers,na
SPO000ETT15000001,2015-06-24,"RD14/0076-V2 - Tender for the appointment of Patent law firms in the IP Panel for a period of 1 year from the date of appointment, with an option to extend for an additional year. For more details, pls contact requestor: Mr Chua Wei Sun tel: 68790319",Singapore Polytechnic,0,Awarded to No Suppliers,na
SPO000ETT15000002,2015-07-03,CI14/0103 3-year term contract for provision of technical manpower services,Singapore Polytechnic,1,Awarded to Suppliers,NSEARCH GLOBAL PTE. LTD.
