tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
SPC000ETT14000023,2015-03-03,INVITATION TO TENDER FOR THE PROVISION OF FOOD AND BEVERAGE VOUCHER SERVICES FOR THE 28TH SOUTHEAST ASIAN GAMES AND THE 8TH ASEAN PARA GAMES,Singapore Sports Council,12,Awarded to Suppliers,NTUC FOODFARE CO-OPERATIVE LIMITED
SPC000ETT14000023,2015-03-03,INVITATION TO TENDER FOR THE PROVISION OF FOOD AND BEVERAGE VOUCHER SERVICES FOR THE 28TH SOUTHEAST ASIAN GAMES AND THE 8TH ASEAN PARA GAMES,Singapore Sports Council,10.5,Awarded to Suppliers,PIZZA HUT SINGAPORE PTE LTD
SPC000ETT14000023,2015-03-03,INVITATION TO TENDER FOR THE PROVISION OF FOOD AND BEVERAGE VOUCHER SERVICES FOR THE 28TH SOUTHEAST ASIAN GAMES AND THE 8TH ASEAN PARA GAMES,Singapore Sports Council,11.4,Awarded to Suppliers,SELECT GROUP PTE. LTD.
SPC000ETT14000050,2015-01-12,INVITATION TO TENDER FOR THE PROVISION OF FOOD AND BEVERAGE VENUES CATERING SERVICES AND CATERING MANAGEMENT SERVICES FOR THE 28TH SOUTH EAST ASIAN GAMES WITH AN OPTION TO EXTEND FOR THE 8TH ASEAN PARA GAMES,Singapore Sports Council,2097432.4,Awarded to Suppliers,Elsie's Kitchen
SPC000ETT14000050,2015-01-12,INVITATION TO TENDER FOR THE PROVISION OF FOOD AND BEVERAGE VENUES CATERING SERVICES AND CATERING MANAGEMENT SERVICES FOR THE 28TH SOUTH EAST ASIAN GAMES WITH AN OPTION TO EXTEND FOR THE 8TH ASEAN PARA GAMES,Singapore Sports Council,1849690.7,Awarded to Suppliers,SATS FOOD SERVICES PTE. LTD.
SPC000ETT14000050,2015-01-12,INVITATION TO TENDER FOR THE PROVISION OF FOOD AND BEVERAGE VENUES CATERING SERVICES AND CATERING MANAGEMENT SERVICES FOR THE 28TH SOUTH EAST ASIAN GAMES WITH AN OPTION TO EXTEND FOR THE 8TH ASEAN PARA GAMES,Singapore Sports Council,1475961,Awarded to Suppliers,Stamford Catering Services Pte Ltd
SPC000ETT14000066,2015-03-02,REQUEST FOR PROPOSAL FOR SETTING UP OF CARNIVAL PROGRAMME - VILLAGE IN THE CITY,Singapore Sports Council,1455000,Awarded to Suppliers,Unusual Productions Pte Ltd
SPC000ETT14000068,2015-02-17,"INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF TOWELS, WATER BOTTLES AND BAGS FOR THE 28TH SOUTHEAST ASIAN GAMES",Singapore Sports Council,36.3,Awarded to Suppliers,IMCOMP INTERNATIONAL PTE LTD
SPC000ETT14000068,2015-02-17,"INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF TOWELS, WATER BOTTLES AND BAGS FOR THE 28TH SOUTHEAST ASIAN GAMES",Singapore Sports Council,57.9,Awarded to Suppliers,PHUTURE INTERNATIONAL PTE. LTD.
SPC000ETT14000079,2015-04-24,PROVISION OF COACHING FOR DEVELOPMENT SERVICES FOR SPORT SINGAPORE,Singapore Sports Council,529900,Awarded to Suppliers,ACERPACER CONSULTING PTE. LTD.
SPC000ETT14000084,2015-02-10,FOR THE SUPPLY AND DELIVERY OF AN ALL-IN-ONE UNDER-AND-OVER-WATER TRACKING CAMERA SYSTEM,Singapore Sports Council,102182,Awarded to Suppliers,"DESIGN SCIENCES, INCORPORATED"
SPC000ETT14000085,2015-02-24,PROVISION OF REFRIGERATION EQUIPMENT FOR THE 28TH SOUTHEAST ASIAN GAMES,Singapore Sports Council,96168.66,Awarded to Suppliers,LOWE REFRIGERATION PTE. LTD.
SPC000ETT14000087,2015-04-16,PROVISION (RENTAL/PURCHASE) OF TELEVISION SCREENS (TV) FOR THE 28th SOUTHEAST ASIAN GAMES,Singapore Sports Council,211303,Awarded to Suppliers,RADIUS DESIGN & CONSTRUCTION PTE LTD
SPC000ETT14000088,2015-01-09,"PROVISION OF FURNITURE, FIXTURES AND EQUIPMENT (LEASE/PURCHASE) FOR THE 28TH SOUTH EAST ASIAN GAMES",Singapore Sports Council,12020.88,Awarded to Suppliers,RADIUS DESIGN & CONSTRUCTION PTE LTD
SPC000ETT14000089,2015-01-14,FOR THE PROVISION OF LARGE PROPS FOR THE 28TH SOUTH EAST ASIAN(SEA)GAMES,Singapore Sports Council,180434,Awarded to Suppliers,AY DESIGNS PTE LTD
SPC000ETT14000089,2015-01-14,FOR THE PROVISION OF LARGE PROPS FOR THE 28TH SOUTH EAST ASIAN(SEA)GAMES,Singapore Sports Council,20600,Awarded to Suppliers,EVENT GALAXY PTE. LTD.
