tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
STB000ETT14000051,2015-01-02,"Tender for to develop, implement and maintenance of events tracking system for Singapore Exhibition & Convention Bureau",Singapore Tourism Board,0,Awarded to No Suppliers,na
STB000ETT14000067,2015-05-18,Request For Proposal For Appointment Of Fund Managers For Singapore Tourism Board,Singapore Tourism Board,243000,Awarded to Suppliers,COLCHESTER GLOBAL INVESTORS (SINGAPORE) PTE. LTD.
STB000ETT14000067,2015-05-18,Request For Proposal For Appointment Of Fund Managers For Singapore Tourism Board,Singapore Tourism Board,202500,Awarded to Suppliers,INVESTEC ASSET MANAGEMENT SINGAPORE PTE. LIMITED
STB000ETT14000067,2015-05-18,Request For Proposal For Appointment Of Fund Managers For Singapore Tourism Board,Singapore Tourism Board,625000,Awarded to Suppliers,MANULIFE ASSET MANAGEMENT (SINGAPORE) PTE. LTD.
STB000ETT14000067,2015-05-18,Request For Proposal For Appointment Of Fund Managers For Singapore Tourism Board,Singapore Tourism Board,594000,Awarded to Suppliers,Schroder Investment Management (Singapore) Ltd
STB000ETT14000067,2015-05-18,Request For Proposal For Appointment Of Fund Managers For Singapore Tourism Board,Singapore Tourism Board,150000,Awarded to Suppliers,T. ROWE PRICE SINGAPORE PRIVATE LTD.
STB000ETT14000070,2015-01-06,Request for Proposal for Design & Build of the Revitalised Chinatown Heritage Centre,Singapore Tourism Board,2979375,Awarded to Suppliers,Kingsmen Exhibits Pte Ltd
STB000ETT14000075,2015-01-23,Tender for Market Research in China and India,Singapore Tourism Board,101000,Awarded to Suppliers,IMRB MILLWARD BROWN INTERNATIONAL PTE LTD
STB000ETT14000080,2015-05-21,Request for Proposal For The Operation And Management Of Haw Par Villa For A Term Of Three Years With An Option To Renew For Two Further Terms Of Three Years Each,Singapore Tourism Board,2030784,Awarded to Suppliers,Journeys Pte Ltd
STB000ETT14000082,2015-01-15,"Request for Proposal for the Build, Project Management and Execution of the Singapore: Inside Out International Showcases",Singapore Tourism Board,5199818.78,Awarded to Suppliers,Pico Art International Pte Ltd
STB000ETT14000085,2015-01-13,Tender for Provision of Maintenance and Support Services of Centralised IT Infrastructure for a Period of 1 Year,Singapore Tourism Board,96324,Awarded to Suppliers,NCS PTE. LTD.
STB000ETT14000086,2015-01-06,"Tender for Media Monitoring and Analysis (Traditional, On-Line & Social) Agency Contract for Singapore Tourism Board",Singapore Tourism Board,27864,Awarded to Suppliers,DIGIMIND PTE. LTD.
STB000ETT14000086,2015-01-06,"Tender for Media Monitoring and Analysis (Traditional, On-Line & Social) Agency Contract for Singapore Tourism Board",Singapore Tourism Board,216000,Awarded to Suppliers,INSIGHTMATRIX
STB000ETT14000088,2015-02-06,Tender to Conduct a Quantitative Survey for the Tourist Guide Profession,Singapore Tourism Board,73050,Awarded to Suppliers,TAYLOR NELSON SOFRES HONG KONG LIMITED
STB000ETT14000089,2015-02-02,Tender To Conduct A Building Condition Audit And Costing Assessment for Chitty / Veerasamy Roads Shophouses At Little India,Singapore Tourism Board,180000,Awarded to Suppliers,FAITHFUL+GOULD PTE. LIMITED
STB000ETT14000090,2015-02-06,Tender for Copywriting and Editorial Services for P@SSPORT Industry E-Newsletter for Singapore Tourism Board,Singapore Tourism Board,89430,Awarded to Suppliers,OCTOPUSINC LLP
STB000ETT14000091,2015-01-26,Tender to Appoint Research Consultant to Conduct ICCA & UIA Ranking Exercise for Singapore Tourism Board,Singapore Tourism Board,199400,Awarded to Suppliers,MICE RANKING PTE. LTD.
STB000ETT14000093,2015-04-20,"Request for proposal for the Creative Conceptualization, Development and Fabrication of a Series of Showcases at the Singapore Visitor Centres Event Space",Singapore Tourism Board,327000,Awarded to Suppliers,THE SHOPHOUSE & CO GROUP PTE. LTD.
STB000ETT14000094,2015-02-17,Tender for Audit Services for Tourism Events,Singapore Tourism Board,325500,Awarded to Suppliers,ERNST & YOUNG LLP
STB000ETT14000095,2015-03-18,Tender for Outsourcing of Staff Claims Verification,Singapore Tourism Board,76200,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.
STB000ETT14000096,2015-02-13,TENDER FOR DESIGN ADAPTATION AND PRODUCTION OF THE SINGAPORE PAVILION AT CRUISE SHIPPING MIAMI EXHIBITION 2015,Singapore Tourism Board,102700.31,Awarded to Suppliers,THINK 360 INCORPORATED
STB000ETT15000001,2015-03-11,Request for Proposal for Design and Construction Services for Tourism Court,Singapore Tourism Board,121362.5,Awarded to Suppliers,IBA INTERNATIONAL (S) PTE. LTD.
STB000ETT15000002,2015-02-27,Tender for Appointment of a Destination Management Company for MasterMICE 2015,Singapore Tourism Board,49690,Awarded to Suppliers,SINGEXPRESS TRAVEL PTE. LTD.
