tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
TPO000ETT14000028,2015-01-21,"TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION AND MAINTENANCE OF GYMNASIUM EQUIPMENT TO TEMASEK POLYTECHNIC",Temasek Polytechnic,33000,Awarded to Suppliers,F1 RECREATION PTE. LTD.
TPO000ETT14000028,2015-01-21,"TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION AND MAINTENANCE OF GYMNASIUM EQUIPMENT TO TEMASEK POLYTECHNIC",Temasek Polytechnic,93937,Awarded to Suppliers,United Lifestyle Pte Ltd
TPO000ETT14000030,2015-04-07,Proposed Roof Replacement Works for Temasek Polytechnic at MK28 on Lot 06163C at 21 Tampines Avenue 1,Temasek Polytechnic,6161340,Awarded to Suppliers,QUADUNION BUILDERS PTE. LTD.
TPO000ETT14000033,2015-01-19,TENDER FOR THE PROVISION OF STUDENT GROUP PERSONAL ACCIDENT (GPA) INSURANCE TO TEMASEK POLYTECHNIC FROM 20 APRIL 2015 TO 23 APRIL 2017,Temasek Polytechnic,139320,Awarded to Suppliers,MSIG INSURANCE (SINGAPORE) PTE. LTD.
TPO000ETT14000034,2015-03-23,"TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION, CONFIGURATION, TESTING, DOCUMENTATION, COMMISSIONING AND MAINTENANCE OF A DIGITAL PRESERVATION SOLUTION WITH LINUX INFRASTRUCTURE AT TEMASEK POLYTECHNIC.",Temasek Polytechnic,277091,Awarded to Suppliers,EX LIBRIS LTD.
TPO000ETT14000034,2015-03-23,"TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION, CONFIGURATION, TESTING, DOCUMENTATION, COMMISSIONING AND MAINTENANCE OF A DIGITAL PRESERVATION SOLUTION WITH LINUX INFRASTRUCTURE AT TEMASEK POLYTECHNIC.",Temasek Polytechnic,119580,Awarded to Suppliers,FUJITSU ASIA PTE LTD
TPO000ETT14000035,2015-01-27,"FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, AND COMMISSIONING OF LIBRARY RFID SYSTEM WITH AN OPTION FOR MAINTENANCE AT TEMASEK POLYTECHNIC",Temasek Polytechnic,200060,Awarded to Suppliers,3M TECHNOLOGIES (S) PTE. LTD.
TPO000ETT14000037,2015-01-07,"TENDER FOR PROPOSED RESURFACING WORKS AROUND THE PERIMETER OF OUTDOOR COURTS AND CONSTRUCTION OF NEW CONCRETE STEPS AT BLK 26A, SPORTS & ARTS CENTRE, LEVEL 1 IN TEMASEK POLYTECHNIC AT 21 TAMPINES AVENUE 1",Temasek Polytechnic,79000,Awarded to Suppliers,LUCAS & BUILDERS PTE LTD
TPO000ETT14000038,2015-03-03,"TENDER FOR THE SUPPLY & DELIVERY OF ELECTRONIC, ELECTRICAL AND INDUSTRIAL COMPONENTS, AND TOOLS FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR TO SCHOOL OF ENGINEERING, TEMASEK POLYTECHNIC",Temasek Polytechnic,293848.7,Awarded to Suppliers,A S K ELECTRONIC PTE. LTD.
TPO000ETT14000038,2015-03-03,"TENDER FOR THE SUPPLY & DELIVERY OF ELECTRONIC, ELECTRICAL AND INDUSTRIAL COMPONENTS, AND TOOLS FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR TO SCHOOL OF ENGINEERING, TEMASEK POLYTECHNIC",Temasek Polytechnic,3415,Awarded to Suppliers,ELEMENT14 PTE. LTD.
TPO000ETT14000038,2015-03-03,"TENDER FOR THE SUPPLY & DELIVERY OF ELECTRONIC, ELECTRICAL AND INDUSTRIAL COMPONENTS, AND TOOLS FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR TO SCHOOL OF ENGINEERING, TEMASEK POLYTECHNIC",Temasek Polytechnic,72703,Awarded to Suppliers,YONG HUAT HARDWARE PTE LTD
TPO000ETT14000039,2015-01-14,"Tender for the Upgrade of Green Data Centre in School of IIT, Temasek Polytechnic",Temasek Polytechnic,249484,Awarded to Suppliers,FUJITSU ASIA PTE LTD
TPO000ETT14000040,2015-03-30,"Tender for the supply, delivery, installation and commissioning of Process Automation Workstations, Modular Training Systems and Programmable Logic Controllers to Temasek Polytechnic",Temasek Polytechnic,42285,Awarded to Suppliers,BECKHOFF AUTOMATION PTE. LTD.
TPO000ETT14000040,2015-03-30,"Tender for the supply, delivery, installation and commissioning of Process Automation Workstations, Modular Training Systems and Programmable Logic Controllers to Temasek Polytechnic",Temasek Polytechnic,328691,Awarded to Suppliers,FESTO PRIVATE LIMITED
