tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
TOT000ETT15000001,2015-09-18,Provision of Survey and Consultancy Services for the Corporate Branding Project of Tote Board Group,Tote Board,172700,Awarded to Suppliers,"LIBBY, PERSZYK, KATHMAN PTE. LTD."
TOT000ETT15000002,2015-11-30,Invitation to Tender for the Provision of Audit Management Software,Tote Board,124930,Awarded to Suppliers,CS GLOBAL GROUP PTE. LTD.
TOT000ETT16000001,2016-04-25,TO APPOINT A PANEL OF LEGAL SERVICE PROVIDERS FOR TOTE BOARD FOR TWO(2) YEARS,Tote Board,16714.28,Awarded to Suppliers,CENTRAL CHAMBERS LAW CORPORATION
TOT000ETT16000001,2016-04-25,TO APPOINT A PANEL OF LEGAL SERVICE PROVIDERS FOR TOTE BOARD FOR TWO(2) YEARS,Tote Board,16714.28,Awarded to Suppliers,EVERSHEDS HARRY ELIAS LLP
TOT000ETT16000001,2016-04-25,TO APPOINT A PANEL OF LEGAL SERVICE PROVIDERS FOR TOTE BOARD FOR TWO(2) YEARS,Tote Board,16714.28,Awarded to Suppliers,GATEWAY LAW CORPORATION
TOT000ETT16000001,2016-04-25,TO APPOINT A PANEL OF LEGAL SERVICE PROVIDERS FOR TOTE BOARD FOR TWO(2) YEARS,Tote Board,16714.28,Awarded to Suppliers,KHATTARWONG LLP
TOT000ETT16000001,2016-04-25,TO APPOINT A PANEL OF LEGAL SERVICE PROVIDERS FOR TOTE BOARD FOR TWO(2) YEARS,Tote Board,16714.28,Awarded to Suppliers,LEE & LEE
TOT000ETT16000001,2016-04-25,TO APPOINT A PANEL OF LEGAL SERVICE PROVIDERS FOR TOTE BOARD FOR TWO(2) YEARS,Tote Board,16714.28,Awarded to Suppliers,RAJAH & TANN SINGAPORE LLP
TOT000ETT16000001,2016-04-25,TO APPOINT A PANEL OF LEGAL SERVICE PROVIDERS FOR TOTE BOARD FOR TWO(2) YEARS,Tote Board,16714.28,Awarded to Suppliers,YEO-LEONG & PEH LLC
TOT000ETT16000003,2016-03-18,"Design, layout, copywriting and production of the Tote Board Annual Report, Social Investment Report and Financial Statements for FY 2015/2016, with the option to renew for another two years",Tote Board,124860,Awarded to Suppliers,VERZTEC CONSULTING PTE. LTD.
TOT000ETT16000006,2016-05-17,TO APPOINT INVESTMENT CONSULTANT FOR ADVISORY AND MONITORING SERVICES FOR TOTE BOARD INVESTMENT PORTFOLIO,Tote Board,930000,Awarded to Suppliers,CAMBRIDGE ASSOCIATES ASIA PTE LTD
TOT000ETT16000007,2016-07-12,"PROPOSED INTERIOR FITTING OUT WORKS FOR TOTE BOARD AT 210 MIDDLE ROAD, #06-01, SINGAPORE 188994",Tote Board,847292.35,Awarded to Suppliers,D' PERCEPTION SINGAPORE PTE. LTD.
TOT000ETT17000001,2017-05-04,Provision of Consultancy and Creative Designing Services,Tote Board,172100,Awarded to Suppliers,THE BRAND UNION PTE. LTD.
TOT000ETT17000004,2017-08-28,"Invitation to Request for Proposal for the Provision of Professional Management Services to Plan, Organise, Manage and Execute a Tote Board Event",Tote Board,743124,Awarded to Suppliers,EXPERIENCE MATTERS PTE. LTD.
