tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
URA000ETT14000037,2015-01-13,Tender for the Provision of Guaranteed Energy Savings Performance Contracting Services for Urban Redevelopment Authority,Urban Redevelopment Authority,3084000,Awarded to Suppliers,CNA GROUP LTD.
URA000ETT14000046,2015-01-07,"Proposed Additions And Alterations From Basement 1 To Roof Of URA Centre (East Wing), 45 Maxwell Road",Urban Redevelopment Authority,8143518.5,Awarded to Suppliers,D' PERCEPTION SINGAPORE PTE. LTD.
URA000ETT14000047,2015-02-25,Tender For Marketing Agency Services To Market Vacant Premises For A Period Of 2 Years (With An Option To Renew The Contract For Another 1 Year),Urban Redevelopment Authority,340000,Awarded to Suppliers,CBRE PTE. LTD.
URA000ETT14000048,2015-01-12,"Request For Proposal To Conceptualise, Plan And Execute 5 Editions Of I Light Marina Bay From Year 2016 To Year 2020",Urban Redevelopment Authority,7098200,Awarded to Suppliers,Pico Art International Pte Ltd
URA000ETT14000056,2015-02-02,Upgrade and Provide Maintenance Support of Integrated Planning and Land Use System (IPlan) Including Other Options,Urban Redevelopment Authority,1800000,Awarded to Suppliers,HCL SINGAPORE PTE. LTD.
URA000ETT14000057,2015-03-20,"Tender For Design, Supply, Install And Maintenance Of Turnstile System At The URA Centre",Urban Redevelopment Authority,215120,Awarded to Suppliers,ROBERT BOSCH SECURITY SOLUTIONS PTE. LTD.
URA000ETT14000060,2015-01-26,"Proposed Extension To Existing Temporary Surface Car Park At Lorong 25/25A And Temporary Surface Car Parks At Lorong 9/11, Lorong 37 & Lorong 31 Geylang",Urban Redevelopment Authority,0,Awarded to No Suppliers,na
URA000ETT14000061,2015-04-24,Modernisation And Interior Improvement Works For 3 Passenger Lifts At East Wing Of The URA Centre,Urban Redevelopment Authority,298500,Awarded to Suppliers,SIGMA ELEVATOR SINGAPORE PTE. LTD.
URA000ETT14000062,2015-06-09,Term Contract For The Provision Of Field Inspection And Related Services For A Period Of Three (3) Years With An Option To Renew On A Yearly Basis For An Additional Two (2) Years,Urban Redevelopment Authority,1393200,Awarded to Suppliers,CERTIS CISCO PROTECTION SERVICES PTE. LTD.
URA000ETT14000067,2015-01-27,Proposed Expansion Of Existing Temporary Surface Heavy Vehicle Park At Dairy Farm Road,Urban Redevelopment Authority,310000,Awarded to Suppliers,ECK Shen Construction & Trading Pte Ltd
URA000ETT14000068,2015-03-20,Term Contract for The Design And Production Of Corporate Newsletter for Two (2) Years With Option to Extend for Another One (1) Year,Urban Redevelopment Authority,166000,Awarded to Suppliers,SILICONPLUS COMMUNICATIONS PTE. LTD.
URA000ETT14000070,2015-03-20,"Term Contract For Servicing, Maintenance And Minor Works Of Building, Mechanical And Electrical Systems At Marina Bay City Gallery, Waterfront Promenade, The Lawn And Merlion Park For A Period Of Two (2) Years With An Option To Renew For Another Two (2) Years",Urban Redevelopment Authority,340800,Awarded to Suppliers,EVERGREEN ENGINEERING & CONSTRUCTION PTE LTD
URA000ETT15000002,2015-10-14,Proposed Infrastructure Works At Upper Bukit Timah Area,Urban Redevelopment Authority,11700000,Awarded to Suppliers,VANSTAR CIVIL ENGINEERING PTE. LTD.
URA000ETT15000004,2015-05-07,Tender For Appointment Of Legal Panel For Provision Of Legal Service,Urban Redevelopment Authority,7,Awarded to Suppliers,ALLEN & GLEDHILL LLP
URA000ETT15000004,2015-05-07,Tender For Appointment Of Legal Panel For Provision Of Legal Service,Urban Redevelopment Authority,4100,Awarded to Suppliers,DENTONS RODYK & DAVIDSON LLP
URA000ETT15000004,2015-05-07,Tender For Appointment Of Legal Panel For Provision Of Legal Service,Urban Redevelopment Authority,2830,Awarded to Suppliers,ENGELIN TEH PRACTICE LLC
URA000ETT15000004,2015-05-07,Tender For Appointment Of Legal Panel For Provision Of Legal Service,Urban Redevelopment Authority,3400,Awarded to Suppliers,KHATTARWONG LLP
URA000ETT15000004,2015-05-07,Tender For Appointment Of Legal Panel For Provision Of Legal Service,Urban Redevelopment Authority,4,Awarded to Suppliers,WONGPARTNERSHIP LLP
URA000ETT15000005,2015-08-12,Request For Proposal (RFP) For Singapore's CBD And Growth Areas Study,Urban Redevelopment Authority,680000,Awarded to Suppliers,EDMUND TIE & COMPANY (SEA) PTE. LTD
URA000ETT15000006,2015-03-19,Proposed Construction Of Temporary Surface Car Parks At Lorong 37 & Lorong 31 Geylang,Urban Redevelopment Authority,330000,Awarded to Suppliers,JUPITER BUILDER PTE. LTD.
URA000ETT15000007,2015-04-07,Upgrade Electronic Planning Application And Consultation System (EPAC) With Maintenance And Other Options,Urban Redevelopment Authority,801080,Awarded to Suppliers,FPT ASIA PACIFIC PTE. LTD.
URA000ETT15000008,2015-04-13,"Tender For Appointment Of Licensed Electrical Worker (LEW) To Undertake The Electrical Installation Licensing, Inspection And Maintenance Services For Both The URA Centre And East Wing For A Period Of Four (4) Years",Urban Redevelopment Authority,121865,Awarded to Suppliers,DRPL CORPORATION PTE. LTD.
URA000ETT15000009,2015-04-27,Tender For Supply And Delivery Of Computer Workstations And Mobile Notebooks,Urban Redevelopment Authority,25292,Awarded to Suppliers,AGGASYS SOLUTIONS PTE. LTD.
URA000ETT15000009,2015-04-27,Tender For Supply And Delivery Of Computer Workstations And Mobile Notebooks,Urban Redevelopment Authority,35530,Awarded to Suppliers,HEWLETT-PACKARD SINGAPORE (SALES) PTE. LTD.
URA000ETT15000010,2015-06-26,Migration of Weblogic Systems to Weblogic 12c and Provision of One Year System Maintenance,Urban Redevelopment Authority,855944,Awarded to Suppliers,XCHANGING SOLUTIONS (SINGAPORE) PTE. LIMITED
