tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
WDA000ETT14000031,2015-01-29,WSU Motivational Workshop and Mentorship,Workforce Singapore,1122,Awarded to Suppliers,AGB EDUCATION CENTRE PTE. LTD.
WDA000ETT14000031,2015-01-29,WSU Motivational Workshop and Mentorship,Workforce Singapore,1287,Awarded to Suppliers,NTUC LEARNINGHUB PTE. LTD.
WDA000ETT14000031,2015-01-29,WSU Motivational Workshop and Mentorship,Workforce Singapore,1022,Awarded to Suppliers,SSA ACADEMY PTE. LTD.
WDA000ETT14000033,2015-02-09,Invitation to Tender for Provision of Legal Services,Workforce Singapore,6530,Awarded to Suppliers,CENTRAL CHAMBERS LAW CORPORATION
WDA000ETT14000033,2015-02-09,Invitation to Tender for Provision of Legal Services,Workforce Singapore,6550,Awarded to Suppliers,CHARACTERIST LLC
WDA000ETT14000034,2015-02-11,Provision of Career Services Retention Tracking Survey (RTS),Workforce Singapore,60024,Awarded to Suppliers,MEDIA RESEARCH CONSULTANTS PTE LTD
WDA000ETT14000035,2015-03-27,Provision of Design and Build Fit-Out Works,Workforce Singapore,1616885,Awarded to Suppliers,ID21 PTE. LTD.
WDA000ETT14000036,2015-09-02,Provision of Classroom Recording System,Workforce Singapore,403383,Awarded to Suppliers,BLUE ORANGE PTE LTD
WDA000ETT15000001,2015-03-17,Provision of Corporate Website Maintenance and Support,Workforce Singapore,420050,Awarded to Suppliers,DECISION SCIENCE AGENCY PTE. LTD.
WDA000ETT15000002,2015-04-21,Design and build renovation works for WDA,Workforce Singapore,991209.2,Awarded to Suppliers,D' PERCEPTION SINGAPORE PTE. LTD.
WDA000ETT15000003,2015-08-26,Provision of Term Survey Management Services,Workforce Singapore,6793.32,Awarded to Suppliers,MAJESTIC RESEARCH SERVICES ASIA PTE. LIMITED
WDA000ETT15000003,2015-08-26,Provision of Term Survey Management Services,Workforce Singapore,12209.07,Awarded to Suppliers,NEXUS LINK PTE. LTD.
WDA000ETT15000004,2015-05-06,Hardware Maintenance for WDA,Workforce Singapore,277798.4,Awarded to Suppliers,3D NETWORKS SINGAPORE PTE. LTD.
WDA000ETT15000005,2015-07-08,Event and Training Management System (ETMS) maintenance,Workforce Singapore,78880,Awarded to Suppliers,IZENO PRIVATE LIMITED
WDA000ETT15000006,2015-12-07,INVITION TO TENDER FOR INDIVIDUAL LEARNING PORTFOLIO (ILP),Workforce Singapore,61621050,Awarded to Suppliers,NCS PTE. LTD.
WDA000ETT15000007,2015-10-05,Provision of Audit Services,Workforce Singapore,6784,Awarded to Suppliers,AUDIT ALLIANCE LLP
WDA000ETT15000007,2015-10-05,Provision of Audit Services,Workforce Singapore,20780,Awarded to Suppliers,BDO LLP
